Doculect1	Doculect2	weight	color
DNMMumfu2	NJSKung4	13	purple
DNMMumfu2	NMAAbar1	.01	transparent
DNMMumfu2	NMNMundabli3	29.0	grey75
DNMMumfu2	NMSMissong4	.01	transparent
DNMMumfu2	NNBBuu3	44	red
DNMMumfu2	NSFBiya5	.01	transparent
DNMMumfu2	NUNMunken4	.01	transparent
DNMMumfu2	NVBAbar7	.01	transparent
DNMMumfu2	NVIAjumbu1	.01	transparent
DNMMumfu2	TELKoshin4	.01	transparent
DNMMumfu2	TNTMunken2	.01	transparent
DNMMumfu2	WCANgun1	.01	transparent
DNMMumfu2	ZKGKung1	11	purple
DPJKoshin1	DPNFang13	.01	transparent
DPJKoshin1	ECLAbar8	.01	transparent
DPJKoshin1	ENBBiya1	.01	transparent
DPJKoshin1	FBCBiya8	.01	transparent
DPJKoshin1	ICNBiya2	.01	transparent
DPJKoshin1	JGYKoshin3	.01	transparent
DPJKoshin1	KBMNgun4	.01	transparent
DPJKoshin1	KCSKung3	.01	transparent
DPJKoshin1	KCYBuu2	.01	transparent
DPJKoshin1	KDCAjumbu10	.01	transparent
DPJKoshin1	KDVFang1	.01	transparent
DPJKoshin1	KEMBuu1	.01	transparent
DPJKoshin1	KFKMashi1	.01	transparent
DPJKoshin1	KHKFang12	.01	transparent
DPJKoshin1	KJSFang2	.01	transparent
DPJKoshin1	KMNAjumbu2	.01	transparent
DPJKoshin1	LFNMundabli1	.01	transparent
DPJKoshin1	MCANgun3	.01	transparent
DPJKoshin1	MEAMumfu3	.01	transparent
DPJKoshin1	MNJBuu4	.01	transparent
DPJKoshin1	MRYKoshin2	.01	transparent
DPJKoshin1	NACAbar2	.01	transparent
DPJKoshin1	NCCMumfu4	.01	transparent
DPJKoshin1	NCMMashi5	.01	transparent
DPJKoshin1	NDNMissong5	.01	transparent
DPJKoshin1	NEAMunken1	.01	transparent
DPJKoshin1	NEMAjumbu9	.01	transparent
DPJKoshin1	NFKBiya7	.01	transparent
DPJKoshin1	NGTMunken3	.01	transparent
DPJKoshin1	NINMundabli4	.01	transparent
DPJKoshin1	NJNBiya6	.01	transparent
DPJKoshin1	NJSKung4	.01	transparent
DPJKoshin1	NMAAbar1	.01	transparent
DPJKoshin1	NMNMundabli3	.01	transparent
DPJKoshin1	NMSMissong4	.01	transparent
DPJKoshin1	NNBBuu3	.01	transparent
DPJKoshin1	NSFBiya5	.01	transparent
DPJKoshin1	NUNMunken4	.01	transparent
DPJKoshin1	NVBAbar7	.01	transparent
DPJKoshin1	NVIAjumbu1	.01	transparent
DPJKoshin1	TELKoshin4	.01	transparent
DPJKoshin1	TNTMunken2	.01	transparent
DPJKoshin1	WCANgun1	.01	transparent
DPJKoshin1	ZKGKung1	.01	transparent
DPNFang13	ECLAbar8	.01	transparent
DPNFang13	ENBBiya1	.01	transparent
DPNFang13	FBCBiya8	.01	transparent
DPNFang13	ICNBiya2	.01	transparent
DPNFang13	JGYKoshin3	.01	transparent
DPNFang13	KBMNgun4	.01	transparent
DPNFang13	KCSKung3	.01	transparent
DPNFang13	KCYBuu2	.01	transparent
DPNFang13	KDCAjumbu10	.01	transparent
DPNFang13	KDVFang1	.01	transparent
DPNFang13	KEMBuu1	.01	transparent
DPNFang13	KFKMashi1	.01	transparent
DPNFang13	KHKFang12	.01	transparent
DPNFang13	KJSFang2	.01	transparent
DPNFang13	KMNAjumbu2	.01	transparent
DPNFang13	LFNMundabli1	.01	transparent
DPNFang13	MCANgun3	.01	transparent
DPNFang13	MEAMumfu3	.01	transparent
DPNFang13	MNJBuu4	.01	transparent
DPNFang13	MRYKoshin2	.01	transparent
DPNFang13	NACAbar2	.01	transparent
DPNFang13	NCCMumfu4	.01	transparent
DPNFang13	NCMMashi5	.01	transparent
DPNFang13	NDNMissong5	.01	transparent
DPNFang13	NEAMunken1	.01	transparent
DPNFang13	NEMAjumbu9	.01	transparent
DPNFang13	NFKBiya7	.01	transparent
DPNFang13	NGTMunken3	.01	transparent
DPNFang13	NINMundabli4	.01	transparent
DPNFang13	NJNBiya6	.01	transparent
DPNFang13	NJSKung4	.01	transparent
DPNFang13	NMAAbar1	.01	transparent
DPNFang13	NMNMundabli3	.01	transparent
DPNFang13	NMSMissong4	.01	transparent
DPNFang13	NNBBuu3	.01	transparent
DPNFang13	NSFBiya5	.01	transparent
DPNFang13	NUNMunken4	.01	transparent
DPNFang13	NVBAbar7	.01	transparent
DPNFang13	NVIAjumbu1	.01	transparent
DPNFang13	TELKoshin4	.01	transparent
DPNFang13	TNTMunken2	.01	transparent
DPNFang13	WCANgun1	.01	transparent
DPNFang13	ZKGKung1	.01	transparent
ECLAbar8	ENBBiya1	.01	transparent
ECLAbar8	FBCBiya8	.01	transparent
ECLAbar8	ICNBiya2	.01	transparent
ECLAbar8	JGYKoshin3	.01	transparent
ECLAbar8	KBMNgun4	.01	transparent
ECLAbar8	KCSKung3	.01	transparent
ECLAbar8	KCYBuu2	.01	transparent
ECLAbar8	KDCAjumbu10	.01	transparent
ECLAbar8	KDVFang1	.01	transparent
ECLAbar8	KEMBuu1	.01	transparent
ECLAbar8	KFKMashi1	.01	transparent
ECLAbar8	KHKFang12	.01	transparent
ECLAbar8	KJSFang2	.01	transparent
ECLAbar8	KMNAjumbu2	.01	transparent
ECLAbar8	LFNMundabli1	.01	transparent
ECLAbar8	MCANgun3	.01	transparent
ECLAbar8	MEAMumfu3	.01	transparent
ECLAbar8	MNJBuu4	.01	transparent
ECLAbar8	MRYKoshin2	.01	transparent
ECLAbar8	NACAbar2	.01	transparent
ECLAbar8	NCCMumfu4	.01	transparent
ECLAbar8	NCMMashi5	.01	transparent
ECLAbar8	NDNMissong5	.01	transparent
ECLAbar8	NEAMunken1	.01	transparent
ECLAbar8	NEMAjumbu9	.01	transparent
ECLAbar8	NFKBiya7	.01	transparent
ECLAbar8	NGTMunken3	.01	transparent
ECLAbar8	NINMundabli4	.01	transparent
ECLAbar8	NJNBiya6	.01	transparent
ECLAbar8	NJSKung4	.01	transparent
ECLAbar8	NMAAbar1	.01	transparent
ECLAbar8	NMNMundabli3	.01	transparent
ECLAbar8	NMSMissong4	.01	transparent
ECLAbar8	NNBBuu3	.01	transparent
ECLAbar8	NSFBiya5	.01	transparent
ECLAbar8	NUNMunken4	.01	transparent
ECLAbar8	NVBAbar7	.01	transparent
ECLAbar8	NVIAjumbu1	.01	transparent
ECLAbar8	TELKoshin4	.01	transparent
ECLAbar8	TNTMunken2	.01	transparent
ECLAbar8	WCANgun1	.01	transparent
ECLAbar8	ZKGKung1	.01	transparent
ENBBiya1	FBCBiya8	.01	transparent
ENBBiya1	ICNBiya2	.01	transparent
ENBBiya1	JGYKoshin3	.01	transparent
ENBBiya1	KBMNgun4	.01	transparent
ENBBiya1	KCSKung3	.01	transparent
ENBBiya1	KCYBuu2	.01	transparent
ENBBiya1	KDCAjumbu10	.01	transparent
ENBBiya1	KDVFang1	.01	transparent
ENBBiya1	KEMBuu1	.01	transparent
ENBBiya1	KFKMashi1	.01	transparent
ENBBiya1	KHKFang12	.01	transparent
ENBBiya1	KJSFang2	.01	transparent
ENBBiya1	KMNAjumbu2	.01	transparent
ENBBiya1	LFNMundabli1	.01	transparent
ENBBiya1	MCANgun3	.01	transparent
ENBBiya1	MEAMumfu3	.01	transparent
ENBBiya1	MNJBuu4	.01	transparent
ENBBiya1	MRYKoshin2	.01	transparent
ENBBiya1	NACAbar2	.01	transparent
ENBBiya1	NCCMumfu4	.01	transparent
ENBBiya1	NCMMashi5	.01	transparent
ENBBiya1	NDNMissong5	.01	transparent
ENBBiya1	NEAMunken1	.01	transparent
ENBBiya1	NEMAjumbu9	.01	transparent
ENBBiya1	NFKBiya7	.01	transparent
ENBBiya1	NGTMunken3	.01	transparent
ENBBiya1	NINMundabli4	.01	transparent
ENBBiya1	NJNBiya6	.01	transparent
ENBBiya1	NJSKung4	.01	transparent
ENBBiya1	NMAAbar1	.01	transparent
ENBBiya1	NMNMundabli3	.01	transparent
ENBBiya1	NMSMissong4	.01	transparent
