Concept	Stability
date palm	0.4088020176
heaven	0.4074527456
lizard	0.4039020728
fungi pimple	0.4028717962
uncle	0.4028717962
mountain	0.4013452456
ankle rattle (men)	0.3996231198
net	0.3994666762
cooking spoon	0.3987403331
slimy soup	0.3987403331
centipede	0.3980442432
garden egg	0.3978753484
leg	0.3961795301
baby	0.3933530219
knitting pin	0.3927255993
wicked man	0.3917160078
hunt (v)	0.3909304689
shave (scissors)	0.3868528072
woven dish	0.385567778
door (lid)	0.3854976181
farm house (corn storage)	0.3854976181
raffia	0.3849771098
land	0.3842121189
placenta	0.3831555587
beggar	0.3821352442
palm barren fruit	0.3817535498
wood pecker	0.3817535498
canoe	0.3791353517
green snake	0.3791353517
weaver bird	0.3783545309
chameleon	0.3765676907
pen	0.376398836
egussi pudding	0.3741759061
buffalo (bush cow)	0.3689006324
gossip (n)	0.3682705558
piano (bamboo)	0.3673801966
stream	0.3672462373
watch	0.3665103888
aged person	0.3660166667
two thousand (2000)	0.3651801596
egussi cracked	0.3647869793
robe	0.3647869793
lake	0.3632067119
tiger	0.3612359948
spleen (side belly pain)	0.3595158185
messenger	0.3576425782
rock	0.3570023065
honey bee	0.3564122293
ankle	0.3558137742
hawk	0.3545971387
pepper stone	0.3541586673
rhizome fruit (hill lilly)	0.3541586673
locust	0.351854463
soup (liquid)	0.351854463
hienia (swellings around groin)	0.3507007466
fireside stone support	0.3501291766
gauze	0.3501291766
laziness	0.348041544
k.o ant	0.3445412465
open (pot)	0.3445412465
stinginess, selfishness	0.3445412465
valley	0.3441895015
one thousand (1000)	0.3437977243
toe	0.3437977243
wicklow	0.3430062529
frog (smooth back)	0.3429809819
twenty (20)	0.342980571
finger	0.3422624147
soup dish	0.3416113482
calabash (ball)	0.3403734408
calabash (long neck)	0.3376506324
breath 2	0.3375829265
swell (n)	0.3373792886
soup	0.3356441301
tadpole	0.3333333333
iron trap	0.3329122316
spine (backbone)	0.3327163253
swallow (food)	0.3315855815
honey juice	0.3312718093
nostril	0.3308494158
twine	0.3303688488
knuckle	0.3252432124
headache	0.3239892406
bush (owner)	0.3210111529
seedling (planting seeds)	0.3200309307
umbilical cord	0.3167790934
cup sieve	0.3153434469
lungs	0.3151067125
pimple	0.3133698872
food	0.3131021515
child calabash	0.3109888387
line (n)	0.3071496298
hanged ceiling	0.3065735964
chair (carved)	0.3064296544
swamp	0.3064006324
k.o tree (leaf)	0.3053204461
mbanga soup fish	0.3053204461
calabash (peace plant)	0.305085337
cliff	0.3048402344
earthworm	0.304526073
marrow	0.3024610102
meat mat	0.3010299957
branch (of the road)	0.2986879105
termite	0.2981569366
wrist	0.2968113221
twenty four (24)	0.2967370705
twenty three (23)	0.2967370705
anus	0.2957934032
cocoyam leaf (soup)	0.2951203079
crowd, group	0.2931041258
hut	0.2918489636
ant	0.2912847678
pain (n)	0.2905709738
poison	0.28954334
wound	0.2873660402
clay pot (fufu)	0.2865729
rib	0.286548887
ascaris (stomach worm)	0.2859031941
bundle (n)	0.2844149229
mosquito	0.2843832753
door (space)	0.2822064219
mbanga soup	0.2818774508
rhizome fruit (valley lilly)	0.280835128
Adam's apple	0.2800416741
palm frond	0.2750355328
twenty one (21)	0.2741950918
twenty two (22)	0.2741950918
male lizard (red head)	0.2735902344
clay pot (soup)	0.2730218931
calf (leg)	0.2683786378
diarrhoea	0.2665048821
skin rashes (baby)	0.2663608496
female lizard (brown)	0.2635483747
pregnancy	0.2617951172
slimy soup dish	0.2617951172
gecko	0.2612575695
hunter	0.2579018715
market	0.2579018715
razor blade	0.2579018715
scar	0.2571518692
wickedness	0.2548798249
salt calabash	0.2524430657
bush (inside)	0.25
calabash (wine container)	0.25
calabash (wine)	0.25
group (cow)	0.25
horn trumpet (cow)	0.25
jealous man	0.25
spoon (calabash)	0.25
tapping pipe	0.25
cocoyam (egg yolk)	0.2431732961
pipe	0.2423402344
clay	0.2413810119
door (frame)	0.2408239965
kite	0.2401114392
palm flower	0.2392600273
road junction	0.2392600273
cowpea bean	0.2386848175
female	0.2367699726
clitoris	0.2346359966
spirit	0.2323719835
upper grinding stone	0.2306762394
twin calabash	0.2305290217
jealousy	0.2302593338
two hundred (200)	0.2250998487
Senegalese kucal (time bird)	0.2232044037
guard	0.2192470093
earth	0.2176477208
one hundred (100)	0.2127460536
tatoo	0.2103099179
bicycle	0.2102289646
faxed pillar	0.2102289646
mudfish	0.2047664198
bell	0.2035469641
clay pot	0.2035469641
leopard	0.2035469641
screech owl	0.2017690144
basket (visit, feast)	0.1819926647
k. o cricket	0.1819926647
oil chaff sieve	0.1819926647
bush (farm)	0.1722706232
marrow (brain)	0.1722706232
native maggi spice	0.1666666667
pap spoon	0.1663004027
dragonfly	0.1642476523
kingfisher	0.1576717234
grasshopper (mongwin)	0.1493922475
spring	0.1439120836
clock bird	0.140417564
inner palm nuts (cone)	0.140417564
door (lid/space)	0.1402066119
dysentry	0.1394714728
woven-tray	0.1289509357
soot	0.1259934102
stripped rat	0.1204119983
two head snake (human)	0.0750427243
electric fish	0.070103306
Cocoyam (igbo)	0.0
ankle rattle (women)	0.0
attached-house (3 walls)	0.0
bark (of tree)	0.0
basket (very big, feast)	0.0
basket (visit)	0.0
calabash (for twins)	0.0
carved chair (used by chief)	0.0
caterpillar (edible)	0.0
caterpillar (variegated)	0.0
clap (v)	0.0
clay pot (cooking fufu)	0.0
clay-pot (legs)	0.0
cocoyam (native, red)	0.0
drum (bothside)	0.0
flute (horizontal)	0.0
friend (male)	0.0
guide (v)	0.0
k.o bat	0.0
k.o cocoyam	0.0
k.o fish	0.0
k.o fruit	0.0
k.o trap	0.0
k.o. dance	0.0
lower-grinding-stone(pepper)	0.0
lower-pepper-stone	0.0
malaria	0.0
native pant (men)	0.0
native umbrella	0.0
necklace (women)	0.0
skeleton	0.0
skin rasches (cause by heat)	0.0
small grinding stone	0.0
small hand bag for male (dance)	0.0
small noise making grasshopper	0.0
small woven dish	0.0
song bird (early morning	0.0
stem	0.0
stirring spoon (vegetables)	0.0
tad-pole (frog/fish)	0.0
tapping hoe	0.0
traditional regalia	0.0
trap (partridge)	0.0
twine (weaved-rope)(lap)	0.0
upper-pepper-stone	0.0
waist beads	0.0
weaved rope	0.0
wooden dish (leg)	0.0
wooden spoon	0.0
