ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
1294	intestine	a15cmkaa	mw-ɛ̀ɛ̀	m w ɛ ɛ	4 6 7 7	ACXZ	MWEE	10	10.M.C 10.W.C 10.E.V 10.E.V	2.0 1.5 1.5 0.8	mwɛɛ	0	8865	m - w ɛ - ɛ
2281	intestine	a43abasaa	nla	n l a	4 5 7	ACX	NLA	12	12.N.C 12.L.C 12.A.V	2.0 1.5 1.5	nla	0	8866	n l a - -
3367	intestine	a622nugunu	no-ona	n o o n a	4 7 7 4 7	AXYBZ	NUUNA	13	13.N.C 13.U.V 13.U.V 13.N.C 13.A.V	2.0 1.5 1.3 1.75 0.8	noona	0	8867	n o o n a
3555	intestine	a62anukalonge	nùnà	n u n a	4 7 4 7	AXBZ	NYNA	14	14.N.C 14.Y.V 14.N.C 14.A.V	2.0 1.5 1.75 0.8	nuna	0	8867	n u - n a
3813	intestine	a63mangisa	ǹnyà	n n j a	4 4 6 7	ACCZ	NNJA	15	15.N.C 15.N.C 15.J.C 15.A.V	2.0 1.5 1.5 0.8	nnja	0	8859	n n j a - - -
3913	intestine	a71eton	ɲ̀-ɲà	ɲ ɲ a	4 4 7	ACZ	NNA	16	16.N.C 16.N.C 16.A.V	2.0 1.5 0.8	ɲɲa	0	8867	ɲ - - ɲ a
4010	intestine	a72aewondo	ṅyia-mi	n j i a m i	4 6 7 7 4 7	ACXYBZ	NJIAMI	17	17.N.C 17.J.C 17.I.V 17.A.V 17.M.C 17.I.V	2.0 1.5 1.5 1.3 1.75 0.8	njiami	0	8859	n - j i a m i
4205	intestine	a75afangbitam	n̩-ya	n̩ j a	4 6 7	ACX	NJA	18	18.N.C 18.J.C 18.A.V	2.0 1.5 1.5	n̩ja	0	8859	n̩ - j a - - -
4388	intestine	a75afangminvoul	n̩-ya	n̩ j a	4 6 7	ACX	NJA	19	19.N.C 19.J.C 19.A.V	2.0 1.5 1.5	n̩ja	0	8859	n̩ - j a - - -
4488	intestine	a803shiwa	ŋgya	ŋ g j a	4 1 6 7	ACCZ	NKJA	20	20.N.C 20.K.C 20.J.C 20.A.V	2.0 1.5 1.5 0.8	ŋgja	0	8859	ŋ g j a - - -
4680	intestine	a832bekol	njà	n j a	4 6 7	ACX	NJA	21	21.N.C 21.J.C 21.A.V	2.0 1.5 1.5	nja	0	8859	n - j a - - -
4871	intestine	a841badwe	nja	n j a	4 6 7	ACX	NJA	22	22.N.C 22.J.C 22.A.V	2.0 1.5 1.5	nja	0	8859	n - j a - - -
4969	intestine	a84njem	nja	n j a	4 6 7	ACX	NJA	23	23.N.C 23.J.C 23.A.V	2.0 1.5 1.5	nja	1	8859	n - j a - - -
5163	intestine	a85bbekwilmv	ŋgya	ŋ g j a	4 1 6 7	ACCZ	NKJA	24	24.N.C 24.K.C 24.J.C 24.A.V	2.0 1.5 1.5 0.8	ŋgja	0	8859	ŋ g j a - - -
5262	intestine	a86cmpiemo	njà	n j a	4 6 7	ACX	NJA	25	25.N.C 25.J.C 25.A.V	2.0 1.5 1.5	nja	1	8859	n - j a - - -
5427	intestine	a91kwakum	ì-lɔ́	i l ɔ	7 5 7	XBZ	ILU	26	26.I.V 26.L.C 26.U.V	1.5 1.75 0.8	ilɔ	0	8880	- - i - l ɔ
5711	intestine	b11fenenga	isɛrɛ	i s ɛ r ɛ	7 3 7 5 7	XBYBZ	ISERE	31	31.I.V 31.S.C 31.E.V 31.R.C 31.E.V	1.5 1.75 1.3 1.75 0.8	isɛrɛ	0	8899	- - i - s ɛ r ɛ
5811	intestine	b11ampongwe	osɛɣɛ	o s ɛ ɣ ɛ	7 3 7 3 7	XBYBZ	USEGE	27	27.U.V 27.S.C 27.E.V 27.G.C 27.E.V	1.5 1.75 1.3 1.75 0.8	osɛɣɛ	0	8899	- - o - s ɛ ɣ ɛ
5911	intestine	b11borungu	osɛɣɛ	o s ɛ ɣ ɛ	7 3 7 3 7	XBYBZ	USEGE	28	28.U.V 28.S.C 28.E.V 28.G.C 28.E.V	1.5 1.75 1.3 1.75 0.8	osɛɣɛ	0	8899	- - o - s ɛ ɣ ɛ
6011	intestine	b11cgalwa	osɛɣɛ	o s ɛ ɣ ɛ	7 3 7 3 7	XBYBZ	USEGE	29	29.U.V 29.S.C 29.E.V 29.G.C 29.E.V	1.5 1.75 1.3 1.75 0.8	osɛɣɛ	0	8899	- - o - s ɛ ɣ ɛ
6110	intestine	b11ddyumba	òsɛ́ːɣɛ̀	o s ɛː ɣ ɛ	7 3 7 3 7	XBYBZ	USEGE	30	30.U.V 30.S.C 30.E.V 30.G.C 30.E.V	1.5 1.75 1.3 1.75 0.8	osɛːɣɛ	0	8899	- - o - s ɛː ɣ ɛ
6210	intestine	b201ndasa	ŋwila	ŋ w i l a	4 6 7 5 7	ACXBZ	NWILA	32	32.N.C 32.W.C 32.I.V 32.L.C 32.A.V	2.0 1.5 1.5 1.75 0.8	ŋwila	0	8865	ŋ - w i l a
6498	intestine	b204ndambomoli	mwele	m w e l e	4 6 7 5 7	ACXBZ	MWELE	33	33.M.C 33.W.C 33.E.V 33.L.C 33.E.V	2.0 1.5 1.5 1.75 0.8	mwele	0	8865	m - w e l e
6770	intestine	b21seki	divu	d i v u	1 7 3 7	AXBZ	TIBY	34	34.T.C 34.I.V 34.B.C 34.Y.V	2.0 1.5 1.75 0.8	divu	0	8888	d i v u
6942	intestine	b22akele	myɛð	m j ɛ ð	4 6 7 3	ACXN	MJED	35	35.M.C 35.J.C 35.E.V 35.D.c	2.0 1.5 1.5 0.8	mjɛð	0	8860	m - j ɛ ð -
7310	intestine	b24wumbvu	ŋwila	ŋ w i l a	4 6 7 5 7	ACXBZ	NWILA	36	36.N.C 36.W.C 36.I.V 36.L.C 36.A.V	2.0 1.5 1.5 1.75 0.8	ŋwila	0	8865	ŋ - w i l a
7410	intestine	b251shake	mwelɔ	m w e l ɔ	4 6 7 5 7	ACXBZ	MWELU	37	37.M.C 37.W.C 37.E.V 37.L.C 37.U.V	2.0 1.5 1.5 1.75 0.8	mwelɔ	0	8865	m - w e l ɔ
7601	intestine	b25kota	myɛɲa	m j ɛ ɲ a	4 6 7 4 7	ACXBZ	MJENA	38	38.M.C 38.J.C 38.E.V 38.N.C 38.A.V	2.0 1.5 1.5 1.75 0.8	mjɛɲa	0	8860	m - j ɛ ɲ a
7701	intestine	b301viya	moya	m o j a	4 7 6 7	AXBZ	MUJA	39	39.M.C 39.U.V 39.J.C 39.A.V	2.0 1.5 1.75 0.8	moja	0	8998	- - - m - o j - a
7801	intestine	b302himba	omina	o m i n a	7 4 7 4 7	XBYBZ	UMINA	40	40.U.V 40.M.C 40.I.V 40.N.C 40.A.V	1.5 1.75 1.3 1.75 0.8	omina	0	8894	o m - i n a
7901	intestine	b304pinzi	omwina	o m w i n a	7 4 6 7 4 7	XBCYBZ	UMWINA	41	41.U.V 41.M.C 41.W.C 41.I.V 41.N.C 41.A.V	1.5 1.75 1.5 1.3 1.75 0.8	omwina	0	8894	o m w i n a
8001	intestine	b305vove	muya	m u j a	4 7 6 7	AXBZ	MYJA	42	42.M.C 42.Y.V 42.J.C 42.A.V	2.0 1.5 1.75 0.8	muja	0	8998	- - - m - u j - a
8101	intestine	b31tsogo	moa	m o a	4 7 7	AXZ	MUA	43	43.M.C 43.U.V 43.A.V	2.0 1.5 0.8	moa	0	8998	- - - m - o - - a
8201	intestine	b32kande	omina	o m i n a	7 4 7 4 7	XBYBZ	UMINA	44	44.U.V 44.M.C 44.I.V 44.N.C 44.A.V	1.5 1.75 1.3 1.75 0.8	omina	0	8894	o m - i n a
8581	intestine	b42sangumi	musopu	m u s o p u	4 7 3 7 1 7	AXBYBZ	MYSUPY	45	45.M.C 45.Y.V 45.S.C 45.U.V 45.P.C 45.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	musopu	0	8899	- m u - s o p u
