Doculect1	Doculect2	SharedCognateCount
KBMNgun4	KHKFang12	21
KBMNgun4	KJSFang2	18
KBMNgun4	KMNAjumbu2	30
KBMNgun4	LFNMundabli1	14
KBMNgun4	MCANgun3	112
KBMNgun4	MEAMumfu3	12
KBMNgun4	MNJBuu4	36
KBMNgun4	MRYKoshin2	16
KBMNgun4	NACAbar2	89
KBMNgun4	NCCMumfu4	15
KBMNgun4	NCMMashi5	23
KBMNgun4	NDNMissong5	87
KBMNgun4	NEAMunken1	88
KBMNgun4	NEMAjumbu9	23
KBMNgun4	NFKBiya7	99
KBMNgun4	NGTMunken3	92
KBMNgun4	NINMundabli4	17
KBMNgun4	NJNBiya6	107
KBMNgun4	NJSKung4	27
KBMNgun4	NMAAbar1	85
KBMNgun4	NMNMundabli3	14
KBMNgun4	NMSMissong4	81
KBMNgun4	NNBBuu3	39
KBMNgun4	NSFBiya5	104
KBMNgun4	NUNMunken4	94
KBMNgun4	NVBAbar7	100
KBMNgun4	NVIAjumbu1	29
KBMNgun4	TELKoshin4	22
KBMNgun4	TNTMunken2	94
KBMNgun4	WCANgun1	114
KBMNgun4	ZKGKung1	23
KCSKung3	KCYBuu2	30
KCSKung3	KDCAjumbu10	38
KCSKung3	KDVFang1	21
KCSKung3	KEMBuu1	28
KCSKung3	KFKMashi1	26
KCSKung3	KHKFang12	25
KCSKung3	KJSFang2	20
KCSKung3	KMNAjumbu2	36
KCSKung3	LFNMundabli1	20
KCSKung3	MCANgun3	31
KCSKung3	MEAMumfu3	17
KCSKung3	MNJBuu4	32
KCSKung3	MRYKoshin2	25
KCSKung3	NACAbar2	25
KCSKung3	NCCMumfu4	19
KCSKung3	NCMMashi5	30
KCSKung3	NDNMissong5	31
KCSKung3	NEAMunken1	32
KCSKung3	NEMAjumbu9	36
KCSKung3	NFKBiya7	28
KCSKung3	NGTMunken3	30
KCSKung3	NINMundabli4	20
KCSKung3	NJNBiya6	32
KCSKung3	NJSKung4	123
KCSKung3	NMAAbar1	26
KCSKung3	NMNMundabli3	16
KCSKung3	NMSMissong4	31
KCSKung3	NNBBuu3	33
KCSKung3	NSFBiya5	30
KCSKung3	NUNMunken4	29
KCSKung3	NVBAbar7	31
KCSKung3	NVIAjumbu1	34
KCSKung3	TELKoshin4	31
KCSKung3	TNTMunken2	30
KCSKung3	WCANgun1	28
KCSKung3	ZKGKung1	81
KCYBuu2	KDCAjumbu10	45
KCYBuu2	KDVFang1	40
KCYBuu2	KEMBuu1	108
KCYBuu2	KFKMashi1	42
KCYBuu2	KHKFang12	50
KCYBuu2	KJSFang2	37
KCYBuu2	KMNAjumbu2	46
KCYBuu2	LFNMundabli1	46
KCYBuu2	MCANgun3	40
KCYBuu2	MEAMumfu3	44
KCYBuu2	MNJBuu4	103
KCYBuu2	MRYKoshin2	42
KCYBuu2	NACAbar2	38
KCYBuu2	NCCMumfu4	44
KCYBuu2	NCMMashi5	40
KCYBuu2	NDNMissong5	40
KCYBuu2	NEAMunken1	47
KCYBuu2	NEMAjumbu9	48
KCYBuu2	NFKBiya7	36
KCYBuu2	NGTMunken3	36
