ID	Concept	Doculect	Value
245	woman	NGT-Munken-3	nan
246	woman	NUN-Munken-4	nan
247	woman	NEA-Munken-1	ʊ̀tʃʊ̀ə̀lə́ / bə̀tʃʊ̀ə̀lə́ 
248	woman	TNT-Munken-2	ʊ̀tʃœ̀lə́ / bə̀tʃœ̀lə́
249	woman	MCA-Ngun-3	nan
250	woman	KBM-Ngun-4	nan
251	woman	WCA-Ngun-1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́
252	woman	AOM-Ngun-2	ʊtʃûlʊ́ / bɛ̀tʃʊ̀lʊ́ ~bɛ̀tʃùlə́
253	woman	APB-Mumfu-1	kpɛ᷆ / tʃɛ᷆
254	woman	DNM-Mumfu-2	kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂
255	woman	BKB-Mashi-2	mwɪ́kpān / bʊ́kǎbó
256	woman	KFK-Mashi-1	mwɪ́kpān / bʊ́kâːbó
257	woman	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄
258	woman	AGA-Missong-2	ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū
259	person	NVB-Abar-7	ònò~ʊ̀nʊ̀ / ána᷇ː
260	person	ECL-Abar-8	ʊ̀nò / bʷɪ̀na᷇ː
261	person	NMA-Abar-1	ʊ̀nʊ̀ / bə́na᷇ː
262	person	NAC-Abar-2	ʊ̀nò / bə́na᷇ː
263	person	NEM-Ajumbu-9	ŋʊ̀ / ánɪ̂~ánîbə̄
264	person	NVI-Ajumbu-1	ŋʊ̀ / ánɪ̀
265	person	KMN-Ajumbu-2	ŋʊ̀ / ánɪ̂
266	person	KDC-Ajumbu-10	ŋʊ̀ / ànè
267	person	ENB-Biya-1	ʊ̀nʊ̀ / bə̀nô
268	person	ICN-Biya-2	ʊ̀nə̀~ʊ̀nò / bə̀nø̂
269	person	NNB-Buu-3	mgbɪ̀ / mbɪ́lə́
270	person	MNJ-Buu-4	mgbɪ̀ː / mbɪ᷇ːlə́
271	person	KEM-Buu-1	mgbɪ̀ / mbɪ̀ːlə̀
272	person	KCY-Buu-2	mgbɪ̀ / mbɪ́ːlə́
273	person	KHK-Fang-12	ŋmə̀ / ŋmɪ̀m
274	person	DPN-Fang-13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm
275	person	KDV-Fang-1	nan
276	person	KJS-Fang-2	nan
277	person	JGY-Koshin-3	mùèɲ ~ mwèɲ / bə́nî
278	person	TEL-Koshin-4	mɥɪ̀ɲ / bə́nî
279	person	MRY-Koshin-2	mwɪ̀n  /  bə̀nɪ̀
280	person	KCS-Kung-3	wùò / àɣʲə᷇ː
281	person	NJS-Kung-4	wʊ̀ə̀ / ɣʲə᷇ː
282	person	ZKG-Kung-1	wùò / ə́ɣyə᷇
283	person	BNM-Kung-2	wʊ̀ə̀ / ə́ɣɨ᷇ː
284	person	NMN-Mundabli-3	mò / ḿbɛ̂ː
285	person	CEN-Mundabli-2	mò / mbɛ̂ː
286	person	LFN-Mundabli-1	mɔ̀wɔ́ / mbɛ̀ːbó
287	person	NIN-Mundabli-4	mò / mbɛːbɛ́n
288	person	NGT-Munken-3	ʊ̀nɛ̀ / bə̀nɛ̂
289	person	NUN-Munken-4	ʊ̀nè / bə́nê
290	person	NEA-Munken-1	ʊ̀nɛ̀ / bə́nɛ᷇ː
291	person	TNT-Munken-2	ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló
292	person	MCA-Ngun-3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː
293	person	KBM-Ngun-4	ʊ̀nò / bə́nô
294	person	WCA-Ngun-1	ɪ̀nò / bə̀nô
295	person	AOM-Ngun-2	ʊ̀nòː / bɛ́no᷇ː 
296	person	APB-Mumfu-1	ø / ø
297	person	DNM-Mumfu-2	màwɛ̌n / mbɛ̂ː
298	person	BKB-Mashi-2	mwɪ̀ / bʊ́ní
299	person	KFK-Mashi-1	mwɪ̀ / bʊ́ní
300	person	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄
301	person	AGA-Missong-2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː
302	male	NVB-Abar-7	nan
303	male	ECL-Abar-8	nan
304	male	NMA-Abar-1	ʊ̀ɲə́ŋhṍ / bwɪ̄ɲə́ŋhṍ
305	male	NAC-Abar-2	ʊ̀ɲə́ŋhȭ / bə́ɲə́ŋhȭ
306	male	NEM-Ajumbu-9	nan
307	male	NVI-Ajumbu-1	tsɪ̀ / ə̀kə́tsɪ̂~átsɪ̂
308	male	KMN-Ajumbu-2	ŋʊ̀dzʊ̀ŋ / âdû
309	male	KDC-Ajumbu-10	nan
310	male	ENB-Biya-1	nan
311	male	ICN-Biya-2	nan
312	male	NNB-Buu-3	nan
313	male	MNJ-Buu-4	nan
314	male	KEM-Buu-1	nan
315	male	KCY-Buu-2	nan
316	male	KHK-Fang-12	nan
317	male	DPN-Fang-13	nan
318	male	KDV-Fang-1	ŋmə̀lə́sʊ̂ŋ / ŋmɪ̂bə̀lyœ̌sʊ̂ŋ
319	male	KJS-Fang-2	ŋmə̀lə́sʊ̂ŋ / bə̀lyœ̌sʊ̂ŋ
320	male	JGY-Koshin-3	nan
321	male	TEL-Koshin-4	nan
322	male	MRY-Koshin-2	ŋmɪ̀nɲʊ̂ /  bə̀nô
323	male	KCS-Kung-3	nan
324	male	NJS-Kung-4	nan
325	male	ZKG-Kung-1	wə̀nôː / ɣyə̂nôːɣə̀
326	male	BNM-Kung-2	nʊ̂ː / nʊ̂ːɣɨ̀
327	male	NMN-Mundabli-3	nan
328	male	CEN-Mundabli-2	nan
329	male	LFN-Mundabli-1	mònó / ø
330	male	NIN-Mundabli-4	mònó / nóːbɛ́n
331	male	NGT-Munken-3	nan
332	male	NUN-Munken-4	nan
333	male	NEA-Munken-1	ʊ̀nʊ̀ɱfə́~ʊ̀nɛ̀nʊ̀mfə́ / bə́nʊ́mfə̄
334	male	TNT-Munken-2	ʊ̀nʊ̀mfə́ / bə̀nnʊ́mfə́
335	male	MCA-Ngun-3	nan
336	male	KBM-Ngun-4	nan
337	male	WCA-Ngun-1	ɪ̀nɪ̀hɪ̃́ / bə́nɪ́hɪ̃̄
338	male	AOM-Ngun-2	ø / ø
339	male	APB-Mumfu-1	mànʊ̂ / nʊ̂ːbə́
340	male	DNM-Mumfu-2	ø
341	male	BKB-Mashi-2	mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó
342	male	KFK-Mashi-1	mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó
343	male	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́
344	male	AGA-Missong-2	nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄
345	wife	NVB-Abar-7	nan
346	wife	ECL-Abar-8	nan
347	wife	NMA-Abar-1	tʃû / bwɪ́tʃú
348	wife	NAC-Abar-2	tʃə̂m /  bə́tʃə́m
349	wife	NEM-Ajumbu-9	nan
350	wife	NVI-Ajumbu-1	kpɔ̂ŋ / ə̀kə́kpɔ̂ŋ~àtsɔ̀ŋ
351	wife	KMN-Ajumbu-2	kpà~ɲívwò / átsɔ̂ŋ
352	wife	KDC-Ajumbu-10	nan
353	wife	ENB-Biya-1	nan
354	wife	ICN-Biya-2	nan
355	wife	NNB-Buu-3	nan
356	wife	MNJ-Buu-4	nan
357	wife	KEM-Buu-1	pyə́sə́ / tyə́sə́
358	wife	KCY-Buu-2	pyésə́ / tyésə̀nə́
359	wife	KHK-Fang-12	nan
360	wife	DPN-Fang-13	nan
361	wife	KDV-Fang-1	kpə́ŋ / bə̀kɪ́ŋ 
362	wife	KJS-Fang-2	ø / ø
363	wife	JGY-Koshin-3	nan
364	wife	TEL-Koshin-4	nan
365	wife	MRY-Koshin-2	kpɪ̌ː / ø
366	wife	KCS-Kung-3	nan
367	wife	NJS-Kung-4	nan
368	wife	ZKG-Kung-1	zǿɪ́ / ə̀zǿɪ́
369	wife	BNM-Kung-2	zɪ́ʲ / ə́zɪ́ʲ
370	wife	NMN-Mundabli-3	nan
371	wife	CEN-Mundabli-2	nan
372	wife	LFN-Mundabli-1	kpé / tʃébó
373	wife	NIN-Mundabli-4	kpé / tʃébɛ́n
374	wife	NGT-Munken-3	nan
375	wife	NUN-Munken-4	nan
