id,concept_id,concept,speaker_name,citation,noun_class,concept_speaker_name
210,162,eczema,NVI,mfúə́sə̀mŋwàlə́ / ə̀mfúə́sə̀mŋwàlə́ ~,12 / 6a,eczema_NVI
211,163,leprosy,KMN,ø / ø,øø,leprosy_KMN
212,163,leprosy,NVI,ø / ø,øø,leprosy_NVI
213,1540,malaria,NVI,ɲə́msə́bə̀tùə̀ / ə́ɲə́msə̌bə̀tùə̀ ~,5 / 6. ,malaria_NVI
214,1540,malaria,KMN,ø / ø,øø,malaria_KMN
215,423,umbrella,KMN,kə̀bâʔ / bə̀bâ,7 / 8.,umbrella_KMN
216,423,umbrella,NVI,kə̀bâʔ / bə̀bâʔ,7 / 8.,umbrella_NVI
217,868,air,NVI,m̀vùlə́ / bə̀mvʊ̀lə́~bə̀àmvùlə́~àmvùlə́,1 / 2.,air_NVI
218,868,air,KMN,m̀vùːlə́ / àmvúːlə́,1 / 2.,air_KMN
219,883,cold (air),NVI,gbásə́ / ə̀gbásə́~kə̀gbāsə̄,3 / 7a,cold (air)_NVI
220,883,cold (air),KMN,gbásə́ / kə̀gbásə́,3 / 7a,cold (air)_KMN
221,884,cold (solid),KMN,kə̀ɲìːlə́/bə̀ɲìːlə́~bə̀ʒìlə̀  ,7 / 8.,cold (solid)_KMN
222,884,cold (solid),NVI,vwálə̀ / ə́bə́vwálə̀~ə́bə́vwáːlə̀,8a / 8,cold (solid)_NVI
223,885,hot; heat (air),KMN,ʃóːkə̀~ʃô,5 / ø,hot; heat (air)_KMN
224,885,hot; heat (air),NVI,àʃô~ʃóːkə̀~ʃô / àʃóːkə̀~àʃô,7 / 7a,hot; heat (air)_NVI
225,886,hot; heat (solid),KMN,ʃóːkə̀~kə̀ʃònə̀,7 / ø,hot; heat (solid)_KMN
226,886,hot; heat (solid),NVI,àfwə́~fwə́~fwó / afwó~àfúkə̀,5 / 6.,hot; heat (solid)_NVI
227,134,pain (n),NVI,ɲáː~ɲáfə́ / ɲáːfə̀kə̀~ə́bə̀ɲáfə́,5 / 6.,pain (n)_NVI
228,134,pain (n),KMN,ɲáːfə́ / kə̄ɲáːfə́,5 / 7a,pain (n)_KMN
229,135,vomit,KMN,kə̀ɲâɲ / bə̀ɲàɲ,7 / 8.,vomit_KMN
230,135,vomit,NVI,ɲâɲ / bə́ɲâɲ~ə̀bə̀ɲàɲ,5 / 6.,vomit_NVI
231,136,headache,KMN,kúːwáɲ ,5 / ø,headache_KMN
232,136,headache,NVI,kʊ́ːwāɲ / ə̀bə́kʊ́ːwāɲ,5 / 6.,headache_NVI
233,137,diarrhoea,NVI,ɲáːfə́kə̀ŋwə̀lə̀ / bə̀ɲáːfə́kə̀ŋwə̀lə̀,7 / 7a,diarrhoea_NVI
234,137,diarrhoea,KMN,ø / ø,øø,diarrhoea_KMN
235,138,dysentry,NVI,ɲáːfə́mfwɪ̌n / bə̀ɲáːfə́mfwɪ̌n,12 / 6a,dysentry_NVI
236,138,dysentry,KMN,ø / ø,øø,dysentry_KMN
237,139,scabies,NVI,mkpàːsə̀ / ə̂mkpàːsə̀,12 / 6a,scabies_NVI
238,139,scabies,KMN,fə̀mkpàːsə̀ / m̀kpàːsə̀,19 / 6a,scabies_KMN
239,166,skin rashes (baby),KMN,kə́ʃâsə̀ / bə́ʃâsə̀,7 / 8.,skin rashes (baby)_KMN
240,166,skin rashes (baby),NVI,mkpàsə̀mbyə̂ŋ /  ə̀mkpàsə̀mbyə̂ŋ,3 / 8.,skin rashes (baby)_NVI
241,165,death,NVI,kpə̄ / ə̀kə́kpə́lə́~kpə́lə́,5 / 7a,death_NVI
242,165,death,KMN,kpè / kə́kpə́ːlə́,5 / 7a,death_KMN
243,903,knowledge,KMN,kə̀kɥàːfə́ / bə̀kɥàːfə́,7 / 8.,knowledge_KMN
244,903,knowledge,NVI,bə̀kɥàfə́ / ə́bə̀kɥáfə́,8a / 8,knowledge_NVI
245,934,laugh (n),NVI,kyə́ / bə̀kyə́~ə́bə́kxə́,5 / 6.,laugh (n)_NVI
246,934,laugh (n),KMN,kyê / kə̀kyə́lə́ ,5 / 7a,laugh (n)_KMN
247,935,cry (n),NVI,gyə̂ / bə́gyə̂,5 / 6.,cry (n)_NVI
248,935,cry (n),KMN,gyê / kə̀gyə̂,5 / 7a,cry (n)_KMN
249,1563,fear (n),NVI,fâɲ / bə́fâɲ~ə̀bə̀fàɲ,5 / 6.,fear (n)_NVI
250,1563,fear (n),KMN,fàɲ / kə́fâɲ,5 / 7a,fear (n)_KMN
251,174,vomit matter,NVI,kə̀mbâɲ~bwɪ᷇n / ə̀bə̀bwɪ᷇n,8a / 8,vomit matter_NVI
