ID	Concept	Doculect	Value
339	belly	MCA-Ngun-3	àbé / bìbə́~àbé
340	belly	KBM-Ngun-4	àbɪ́ / ábɪ́
341	hair	NVB-Abar-7	ófʷɪ́ / ɪ́fʷɪ̂ː
342	hair	ECL-Abar-8	ʊ̄fʷɪ́ / kīfʷɪ́~īfʷɪ́
343	hair	NEM-Ajumbu-9	vúlə́ / kə̀vúlə́
344	hair	KDC-Ajumbu-10	fɔ̂lə̀~fʷò / kə́fɔ̂lə̀~fʷólə́
345	hair	ENB-BIYA-1	ʊ̀fʷé~ʊ̀fʷɪ́/ kə̀fʷé
346	hair	ICN-BIYA-2	ʊ̀fʷɪ́/ àfʷɪ́
347	hair	NNB-Buu-3	kə́fʊ̂ː / bə́fʊ̂ː
348	hair	MNJ-Buu-4	kə̀fʊ̀ː / bə̀fʊ̀ː
349	hair	KHK-FANG-12	fʊ̂ː / tə́fʊ̂ː
350	hair	DPN-FANG-13	fù / bə̀fù
