ID	Concept	Doculect	Value
313	black man	KDV-Fang-1	ŋmə̀kə̀yə́lə́ / ŋmɪ̂mbə́yə́lə́
314	black man	KJS-Fang-2	ŋmə̀kə́yə́nnə́ / ŋmɪ̂mbīyə́nnə́
315	black man	MRY-Koshin-2	ø / ø
316	black man	ZKG-Kung-1	wùlə̀ŋə́wə̀ / ɣyə̂lə́ŋə́ɣə́
317	black man	BNM-Kung-2	wʊ̀ə̀lə́ŋə̀ / ɣɨ᷇ːlə́ŋə́
318	black man	LFN-Mundabli-1	mòyə̌l / mbɛ̂bə́yə́l
319	black man	NIN-Mundabli-4	mōyə́lə̄ / mbɛ̀ːbə̀yə́lə̄bó
320	black man	NEA-Munken-1	ø / ø 
321	black man	TNT-Munken-2	ʊ̀nɛ̀ʊ̀dàŋə́ / bə̀nɛ̂bə̀dàŋə́
322	black man	WCA-Ngun-1	ɪ̀nǒɪ̀dʊ̀ŋʊ́ / bə̄nôbə̀dʊ̀ŋʊ́
323	black man	AOM-Ngun-2	ʊ̀nòdʊ́ŋʊ́ / bɛ̀no᷇bɛ̀dʊ̀ŋʊ́
324	black man	APB-Mumfu-1	màyəl / mbɛ̀yə̄l~mbɛ̀bə̄yəl
325	black man	DNM-Mumfu-2	yə́l~màyə́l~màyɪ́l / mbɛ̂yə́l~mbɛ́yɪ́l
326	black man	BKB-Mashi-2	mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó
327	black man	KFK-Mashi-1	mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó
328	black man	ABS-Missong-1	nóːtsə́nsə́ / bànɛ̂bàtsə̀nsə́
329	black man	AGA-Missong-2	nòːtsə̀nsə́ / bánɛ̂bàtsə̀nsə́
330	twin	NMA-Abar-1	byâŋmáŋhṍ / byâŋmáŋátʃí
331	twin	NAC-Abar-2	mə́ŋhṍ / bə̀mə́ŋhṍ
332	twin	NVI-Ajumbu-1	àmáŋkə́ / ə́bə̀máŋkə́~bə̀máŋkə́
333	twin	KMN-Ajumbu-2	máŋkə́ / ámáŋkə́
334	twin	KEM-Buu-1	máŋsə́ / ɲyóbə̀máŋsə́ 
335	twin	KCY-Buu-2	ø / ø
336	twin	KDV-Fang-1	sáŋfə́ ~ sáŋfə̀
337	twin	KJS-Fang-2	sáŋfə́ ~ sáŋfə̀
338	twin	MRY-Koshin-2	ø / ø
339	twin	ZKG-Kung-1	tsáʔ / ḿtsáʔ
340	twin	BNM-Kung-2	tsáʔ / sə́tsáʔ
341	twin	LFN-Mundabli-1	ǹtàmàmbɛ́ː / ɲɔ́mmbòmbɛ́ː
