ID	Concept	Doculect	Value
345	uncle	NNB-Buu-3	nan
346	uncle	MNJ-Buu-4	nan
347	uncle	KHK-Fang-12	nan
348	uncle	DPN-Fang-13	nan
349	uncle	JGY-Koshin-3	nan
350	uncle	TEL-Koshin-4	nan
351	uncle	KCS-Kung-3	nan
352	uncle	NJS-Kung-4	nan
353	uncle	NMN-Mundabli-3	nan
354	uncle	CEN-Mundabli-2	nan
355	uncle	NGT-Munken-3	nan
356	uncle	NUN-Munken-4	nan
357	uncle	MCA-Ngun-3	nan
358	uncle	KBM-Ngun-4	nan
359	uncle	APB-Mumfu-1	tə᷇ːŋ / bə̀tə̂ŋbə̌
360	uncle	DNM-Mumfu-2	ø
361	uncle	BKB-Mashi-2	bə̀bə́kpó / bʊ̀bə̀bə́kó
362	uncle	KFK-Mashi-1	tʃěkpó / bʊ̀
363	uncle	ABS-Missong-1	kə́ŋɲí / bàkə́ŋɲī
364	uncle	AGA-Missong-2	kə᷇ːŋɲí / bàkə́ːŋɲíwú
365	husband	NVB-Abar-7	nan
366	husband	ECL-Abar-8	nan
367	husband	NEM-Ajumbu-9	nan
368	husband	KDC-Ajumbu-10	nan
369	husband	ENB-Biya-1	nan
370	husband	ICN-Biya-2	nan
371	husband	NNB-Buu-3	nan
372	husband	MNJ-Buu-4	nan
373	husband	KHK-Fang-12	nan
374	husband	DPN-Fang-13	nan
375	husband	JGY-Koshin-3	nan
376	husband	TEL-Koshin-4	nan
377	husband	KCS-Kung-3	nan
378	husband	NJS-Kung-4	nan
379	husband	NMN-Mundabli-3	nan
380	husband	CEN-Mundabli-2	nan
381	husband	NGT-Munken-3	nan
382	husband	NUN-Munken-4	nan
383	husband	MCA-Ngun-3	nan
384	husband	KBM-Ngun-4	nan
385	husband	APB-Mumfu-1	mànú~ɲɔ᷇ːm / mànú~ɲo᷇ːmbə́
386	husband	DNM-Mumfu-2	ɲɔ́ʔm / ɲɔ́ʔmbɛ́
387	husband	BKB-Mashi-2	ɲòmnɪ́ / bʊ́nómnɪ̄
388	husband	KFK-Mashi-1	ɲòmnɪ́ / bʊ́nómnɪ̄
389	husband	ABS-Missong-1	núā / bànúā
390	husband	AGA-Missong-2	no᷇áwú / bànóāwú
391	friend	NVB-Abar-7	bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀
392	friend	ECL-Abar-8	ʊ̀kʷèː / bʷɪ̀kʷè
393	friend	NEM-Ajumbu-9	ǹ̩sànə́ / ásěː~ǹ̩sànə́
394	friend	KDC-Ajumbu-10	ǹ̩sânə́ / ásé
395	friend	ENB-Biya-1	bí / bàbí~bə̀bí
396	friend	ICN-Biya-2	bʲê / bə̀bʲê
