ID	Concept	Doculect	Value
242	eye	MNJ-Buu-4	yɛ́sə́ / kə̀yɛ̂sə̀nə́
243	eye	KHK-Fang-12	wə́sə̄ / ʒísɛ̄
244	eye	DPN-Fang-13	wə́sə̌ / ʒí
245	eye	JGY-Koshin-3	ɥí / dʒí
246	eye	TEL-Koshin-4	ɥí / dʒí
247	eye	KCS-Kung-3	sɪ́ʲ / síə́
248	eye	NJS-Kung-4	ɪ́sɘ́ʲ / ə̀sɘ́ʲ ~ síː
249	eye	NMN-Mundabli-3	yɪ́ / yɪ̄kɪ́
250	eye	CEN-Mundabli-2	yɪ́ / yɪ̄ː kō
251	eye	NGT-Munken-3	ɪ́dzɛ́hɛ́ / ádzɛ́sə́ ~ ádzɛ́hɛ́sə́
252	eye	NUN-Munken-4	ɪ́zɛ́hɛ́ / ázɛ́hɛ́
253	eye	MCA-Ngun-3	ɪ̀dzɪ́hɪ́ / àdʒɪ́hɪ́
254	eye	KBM-Ngun-4	ɪ́dzɪ́hɪ́ / àdʒɪ́hɪ́
255	eye	APB-Mumfu-1	yɛ́ / yɛ́kə́ ~ yɛ́ / yɛ́
256	eye	DNM-Mumfu-2	yə́ / yɛ́ːkə́
257	eye	BKB-Mashi-2	yə́t / ø
258	eye	KFK-Mashi-1	yət / yətʃìn
259	eye	ABS-Missong-1	ízə̄sə́ / ázə́sə́
260	eye	AGA-Missong-2	ídzə̄sə́~ɪ́zə̄sə́ / ázə́sə́
261	nose	NVB-Abar-7	ɪ̀ɲə́ŋ / ńɲə́ŋmʷɪ̂
262	nose	ECL-Abar-8	ɪ̀ɲə́ŋ / mʷɪ̀nɲə́ŋ~ǹɲə́ŋ
263	nose	NEM-Ajumbu-9	vǘ / vǘlə́kə̄~kə̀vǘlə́
264	nose	KDC-Ajumbu-10	vǘ / kə̀vǘlə́~ávǘlə́
265	nose	ENB-Biya-1	ɪ̀ɲə́ŋ / kə̀ɲə́ŋ NGUN
266	nose	ICN-Biya-2	ɪ̀ɲí / àɲí
267	nose	NNB-Buu-3	wúŋ / kə̀wúŋ~kə́wúŋtə́nə̄
268	nose	MNJ-Buu-4	wʊ́ŋ / kə̀wʊ́ŋtə́
269	nose	KHK-Fang-12	wu᷇ː / tə̀wu᷇ː
270	nose	DPN-Fang-13	wū / tə̀wu᷇ː
271	nose	JGY-Koshin-3	wúŋ / tə̀wúŋ
272	nose	TEL-Koshin-4	wúŋ / tə̀wúŋ
273	nose	KCS-Kung-3	ɥɪ́ / ɥɪ́ə́
274	nose	NJS-Kung-4	ɪ́wə́ʲ / ə̀wə̀ʲ
275	nose	NMN-Mundabli-3	wʊ́ŋ / wʊ̄ŋ kɪ́
276	nose	CEN-Mundabli-2	wʊ́ŋ / wʊ́ːŋ kō
277	nose	NGT-Munken-3	ɪ́ɲí / áɲîsə́
278	nose	NUN-Munken-4	ɪ́ɲí / áɲîː
279	nose	MCA-Ngun-3	ɪ̀ɲə́ŋ / àɲə́ŋ
280	nose	KBM-Ngun-4	ɪ̀ɲə́ŋ / àɲə́ŋ
281	nose	APB-Mumfu-1	wʊ́ŋ / wʊ́ŋkə́ ~ wʊ́ŋ / wʊ́ŋ
282	nose	DNM-Mumfu-2	wʊ́ŋ / wʊ́ŋkɛ́
283	nose	BKB-Mashi-2	dʒʊ́ / dʒʊ́ŋ
284	nose	KFK-Mashi-1	dʒʊ́ / dʒʊ́ŋ
285	nose	ABS-Missong-1	ɪ̀ɲʊ́ / àɲʊ́
286	nose	AGA-Missong-2	ɪ́ɲǘ / áɲǘwū
287	mouth	NVB-Abar-7	òfàn / àmfàn~m̀fànmʷɪ̀
288	mouth	ECL-Abar-8	ʊ̀fàn / mʷɪ̀ɱfàn
289	mouth	NEM-Ajumbu-9	dzɨ́ / kə̀dzɨ́lə́
290	mouth	KDC-Ajumbu-10	dzɨ́ / kə̀dzə́lə́
291	mouth	ENB-Biya-1	ʊ̀fʷə̀n / kə̀fʷə̀n
