"ID","name","GroupID","category"
"579","tapping pipe (raffia/palm wine)",NULL,"Bamboo Tools"
"580","tapping -pipe",NULL,"Bamboo Tools"
"581","pipe (wine tapping)",NULL,"Bamboo Tools"
"582","umbrella (non-native)",NULL,"Bamboo Tools"
"583","sheath",NULL,"Bamboo Tools"
"584","indian bamboo",NULL,"Bamboo Tools"
"585","upper-wall-shelf (inside the house)",NULL,"Bamboo Tools"
"586","waist beads",NULL,"Attire"
"587","cap",NULL,"Attire"
"588","staff (walk support)",NULL,"Attire"
"589","tunic",NULL,"Attire"
"590","robe",NULL,"Attire"
"591","shoe",NULL,"Attire"
"592","k.o cap",NULL,"Attire"
"593","bangle",NULL,"Attire"
"594","k.o rope (bangle)",NULL,"Attire"
"595","cloth",NULL,"Attire"
"596","belt",NULL,"Attire"
"597","women cloth (leaves)",NULL,"Attire"
"598","neck beads",NULL,"Attire"
"599","little hand bag",NULL,"Attire"
"600","k.o bag (hanged)",NULL,"Attire"
"601","Cap (native black)",NULL,"Attire"
"602","neck-bead",NULL,"Attire"
"603","native pant (women)",NULL,"Attire"
"604","native pant (men)",NULL,"Attire"
"605","waist-bead",NULL,"Attire"
"606","tatoo",NULL,"Attire"
"607","patches, dotted",NULL,"Attire"
"608","staff (stick walk support)",NULL,"Attire"
"609","small hand bag for male (dance)",NULL,"Attire"
"610","small hand bag for female (dance)",NULL,"Attire"
"611","necklace (women)",NULL,"Attire"
"612","clay pot (fufu)",NULL,"Soil Tools"
"613","fireside",NULL,"Soil Tools"
"614","fireside stone",NULL,"Soil Tools"
"615","fireside stone support",NULL,"Soil Tools"
"616","lower grinding stone",NULL,"Soil Tools"
"617","pepper stone",NULL,"Soil Tools"
"618","soap",NULL,"Soil Tools"
"619","letter",NULL,"Soil Tools"
"620","bottle",NULL,"Soil Tools"
"621","clay-pot (legs)",NULL,"Soil Tools"
"622","clay-pot (big)",NULL,"Soil Tools"
"623","stone trap",NULL,"Soil Tools"
"624","Clay pot (soup, amulet)",NULL,"Soil Tools"
"625","Clay pot (palace-wine)",NULL,"Soil Tools"
"626","Clay pot (father soup)",NULL,"Soil Tools"
"627","Clay pot (palace-wine; 60l)",NULL,"Soil Tools"
"628","clay pot (soup) ",NULL,"Soil Tools"
"629","small grinding stone",NULL,"Soil Tools"
"630","grinding stone",NULL,"Soil Tools"
"631","clay pot",NULL,"Soil Tools"
"632","lower-pepper-stone",NULL,"Soil Tools"
"633","upper-pepper-stone",NULL,"Soil Tools"
"634","dish/pot (clay)",NULL,"Soil Tools"
"635","clay pot (cooking fufu)",NULL,"Soil Tools"
"636","pot-sizing stone",NULL,"Soil Tools"
"637","fireside stone (pot support stones)",NULL,"Soil Tools"
"638","flat-long-stones",NULL,"Soil Tools"
"639","clay pot (for cooking fufu)",NULL,"Soil Tools"
