Doculect	Segment	Zscore	Normedcount	SalienceScore
Buu	tʷ	-0.82	0	0
Buu	tˢ	-0.29	0	0
Buu	u	-0.85	69	-58
Buu	uʱ	-0.3	2	-1
Buu	uː	-0.8	7	-6
Buu	uːʱ	-0.29	0	0
Buu	v	-0.47	0	0
Buu	vʷ	-0.29	0	0
Buu	w	-1.33	105	-140
Buu	z	-0.86	52	-44
Buu	zː	-0.29	0	0
Buu	²¹	-0.29	0	0
Buu	³	-0.92	175	-161
Buu	³¹	-0.43	0	0
Buu	³⁵	-0.29	0	0
Buu	¹	-0.8	978	-786
Buu	¹³	0.95	8	8
Buu	¹⁵	-0.22	119	-26
Buu	ã	-0.2	2	0
Buu	ãː	0.87	2	2
Buu	æ	-0.44	0	0
Buu	æː	2.35	1	2
Buu	æ̃	-0.4	0	0
Buu	õ	-0.51	0	0
Buu	õː	2.33	7	16
Buu	ø	-0.62	1	-1
Buu	øː	-0.73	0	0
Buu	ĩ	-0.19	1	0
Buu	ĩː	-0.29	0	0
Buu	ŋ	-0.28	327	-93
Buu	ŋm	-0.54	1	-1
Buu	ŋmʷ	-0.29	0	0
Buu	ŋʷ	0.34	3	1
Buu	ŋˤ	-0.29	0	0
Buu	œ	-0.45	0	0
Buu	œː	-0.38	0	0
Buu	œ̃	-0.29	0	0
Buu	ũ	-0.18	1	0
Buu	ũʱ	-0.29	0	0
Buu	ũː	-0.37	0	0
Buu	ɑ	-0.67	0	0
Buu	ɑː	-0.72	0	0
Buu	ɑ̃	-0.29	0	0
Buu	ɑ̃ː	-0.29	0	0
Buu	ɒ	-0.41	0	0
Buu	ɒː	-0.47	0	0
Buu	ɒ̃	-0.29	0	0
Buu	ɒ̃ː	-0.29	0	0
Buu	ɔ	-1.75	47	-82
Buu	ɔː	-0.52	10	-5
Buu	ɔ̃	-0.32	0	0
Buu	ɔ̃ː	0.84	1	1
Buu	ɘ	-0.69	0	0
Buu	ɘː	-0.45	0	0
Buu	ə	1.44	1371	1970
Buu	əː	0.02	23	1
Buu	əˠ	-0.29	0	0
Buu	ə̃	0.82	4	3
Buu	ə̃ː	1.75	2	4
Buu	ɛ	-0.59	50	-29
Buu	ɛː	-0.98	8	-8
Buu	ɛ̃	-0.51	0	0
Buu	ɛ̃ː	-0.43	0	0
Buu	ɠ	-0.29	0	0
Buu	ɣ	-0.45	5	-2
Buu	ɥ	-0.67	5	-3
Buu	ɦ	-0.29	0	0
Buu	ɦː	-0.29	0	0
Buu	ɨ	-0.89	1	-1
Buu	ɨː	0.18	1	0
Buu	ɨ̃	-0.45	0	0
Buu	ɪ	-0.75	125	-93
Buu	ɪː	2.98	35	104
Buu	ɪ̃	0.82	4	3
Buu	ɪ̃ː	-0.29	0	0
Buu	ɯ	-0.29	0	0
Buu	ɱ	-0.6	0	0
Buu	ɲ	-0.39	64	-25
Buu	ɲʲ	-0.89	1	-1
Buu	ɲʷ	-0.54	0	0
Buu	ɳ	-0.29	0	0
Buu	ʃ	0.27	89	24
Buu	ʃʲ	1.53	14	21
Buu	ʃʷ	1.75	5	9
Buu	ʉ	-0.42	0	0
Buu	ʉʱ	-0.29	0	0
Buu	ʉː	-0.29	0	0
Buu	ʊ	-1.43	104	-148
Buu	ʊʱ	0.31	5	2
Buu	ʊʱː	-0.29	0	0
Buu	ʊː	1.85	47	87
Buu	ʊ̃	-0.48	0	0
Buu	ʊ̃ː	-0.43	0	0
Buu	ʊ̤	-0.29	0	0
Buu	ʒ	-0.8	0	0
Buu	ʒʷ	-0.29	0	0
Buu	ʔ	-0.51	1	-1
Buu	β	-0.5	0	0
Buu	βʷ	-0.29	0	0
Buu	ẽ	-0.39	0	0
Buu	ẽː	-0.29	0	0
Buu	⁴⁵	-0.29	0	0
Buu	⁵	1.34	1422	1906
Buu	⁵³	0.91	83	76
Buu	⁵¹	-0.32	187	-60
Buu	ⁿb	-0.5	0	0
Buu	ⁿbʷ	-0.65	0	0
Buu	ⁿd	-0.67	1	-1
Buu	ⁿdʷ	-0.29	0	0
Buu	ⁿt	-0.62	0	0
Fang	a	-1.73	253	-437
Fang	aː	-0.9	53	-48
Fang	b	0.26	282	72
Fang	bʷ	-0.91	4	-4
Fang	d	0.13	123	16
Fang	dzʷ	-0.43	0	0
Fang	dʒ	-0.78	40	-31
Fang	dʒʷ	0.5	3	2
Fang	dʷ	0.84	1	1
Fang	e	-0.11	74	-8
Fang	eː	-0.29	18	-5
Fang	f	0.57	248	141
Fang	fʲ	0.46	6	3
Fang	fʷ	-0.8	0	0
Fang	g	1.27	127	161
Fang	gb	0.05	45	2
Fang	gʷ	0.8	9	7
Fang	h	-0.72	4	-3
Fang	i	-1.02	98	-100
