Variety	Concept	Stability
munk1244	1003_person	1.0
munk1244	1017_pig	1.0
munk1244	1022_pineapple	1.0
munk1244	1024_place	1.0
munk1244	1027_plantain	1.0
munk1244	1044_pot	1.0
munk1244	1046_potato	1.0
munk1244	1076_raffiabamboo	1.0
munk1244	1079_rain	1.0
munk1244	1123_road	1.0
munk1244	1136_rope	1.0
munk1244	1148_salt	1.0
munk1244	1150_sand	1.0
munk1244	1206_sieve	1.0
munk1244	1238_smoke	1.0
munk1244	1240_snake	1.0
munk1244	1247_soap	1.0
munk1244	1252_song	1.0
munk1244	1266_spider	1.0
munk1244	1306_stomach	1.0
munk1244	1307_stone	1.0
munk1244	1325_sun	1.0
munk1244	139_bed	1.0
munk1244	1403_toilet	1.0
munk1244	1404_tongue	1.0
munk1244	1405_tooth	1.0
munk1244	1416_tree	1.0
munk1244	1451_umbrella	1.0
munk1244	1484_war	1.0
munk1244	1490_water	1.0
munk1244	1526_workn	1.0
munk1244	1542_yam	1.0
munk1244	157_bird	1.0
munk1244	163_blood	1.0
munk1244	170_book	1.0
munk1244	184_breast	1.0
munk1244	192_bridge	1.0
munk1244	194_broom	1.0
munk1244	233_camwood	1.0
munk1244	264_chair	1.0
munk1244	276_chief	1.0
munk1244	277_child	1.0
munk1244	340_corn	1.0
munk1244	348_cowcattle	1.0
munk1244	365_cup	1.0
munk1244	381_day	1.0
munk1244	385_deitygodgod	1.0
munk1244	391_devil	1.0
munk1244	40_air	1.0
munk1244	428_drum	1.0
munk1244	433_dust	1.0
munk1244	435_ear	1.0
munk1244	443_egg	1.0
munk1244	458_elephantstalk	1.0
munk1244	474_eye	1.0
munk1244	477_faeces	1.0
munk1244	50_animal	1.0
munk1244	519_fire	1.0
munk1244	527_fish	1.0
munk1244	556_fowl	1.0
munk1244	574_gardenegg	1.0
munk1244	590_goat	1.0
munk1244	594_grass	1.0
munk1244	596_grasshopper	1.0
munk1244	599_grave	1.0
munk1244	618_gun	1.0
munk1244	621_hair	1.0
munk1244	623_hand	1.0
munk1244	648_head	1.0
munk1244	650_headpad	1.0
munk1244	667_hoe	1.0
munk1244	676_horse	1.0
munk1244	681_house	1.0
munk1244	713_intestine	1.0
munk1244	719_jaw	1.0
munk1244	72_axe	1.0
munk1244	76_bag	1.0
munk1244	813_ladder	1.0
munk1244	822_leaf	1.0
munk1244	889_medicine	1.0
munk1244	905_moon	1.0
munk1244	909_mother	1.0
munk1244	90_basket	1.0
munk1244	913_mouth	1.0
munk1244	921_name	1.0
munk1244	939_nose	1.0
munk1244	944_oil	1.0
munk1244	978_palmtree	1.0
munk1244	980_pap	1.0
