ID	Concept	Doculect	Value	Tokens
195	557_friend	NGTMunken3	bʲâ / bə̀bʲá	b j a ⁵ ¹
196	557_friend	NUNMunken4	àtsò / bàtsò	a ¹ ts o ¹
197	557_friend	MCANgun3	bī~bîː / bɛ̀bí	b i ³
198	557_friend	KBMNgun4	ʊ̀kɥɪ̀ / bə̀kɥɪ̀	ʊ ¹ k ɥ ɪ ¹
199	557_friend	WCANgun1	bìː / bèbîː	b iː ¹
200	557_friend	AOMNgun2	ʊ̀kwɪ̀ / bɛ́kwɪ᷇ː	ʊ ¹ k w ɪ ¹
201	557_friend	APBMumfu1	ńsʊ́ŋ / ńswéːn	n ⁵ s ʊ ⁵ ŋ
202	557_friend	DNMMumfu2	n̄sʊ̄ŋ / n̄sōn	n ³ s ʊ ³ ŋ
203	557_friend	BKBMashi2	ǹsʊ́ / ǹsʊ́	n ¹ s ʊ ⁵
204	557_friend	KFKMashi1	ǹsʊ́ / ǹsʊ́ŋ	n ¹ s ʊ ⁵
205	557_friend	ABSMissong1	ìtsʊ̈̌ / kítsʊ̂lə̀	i ¹ ts ʊ̤ ¹ ⁵
206	557_friend	AGAMissong2	ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́	ɪ ¹ ts ʊ ¹ ⁵
207	276_chief	NVBAbar7	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂	ŋ k ʊ ⁵ ŋ
208	276_chief	ECLAbar8	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂	ŋ k ʊ ⁵ ŋ
209	276_chief	NMAAbar1	ŋkʊ́ŋ / bwɪ̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
210	276_chief	NACAbar2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
211	276_chief	NEMAjumbu9	ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú	ŋ ¹ k ʊ ⁵
212	276_chief	NVIAjumbu1	ŋkʊ́ / bə̀ŋkʊ́~ŋkʊ́ / àŋkʊ́	ŋ k ʊ ⁵
213	276_chief	KMNAjumbu2	ŋkʷú / kə̀ŋkúlə́~bə̀ŋkúlə́~àŋkʷú	ŋ kʷ u ¹
214	276_chief	KDCAjumbu10	ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú	ŋ ¹ k ʊ ⁵
215	276_chief	ENBBiya1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
216	276_chief	ICNBiya2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
217	276_chief	NNBBuu3	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ ¹ k ə ⁵ ŋ
218	276_chief	MNJBuu4	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ ¹ k ə ⁵ ŋ
219	276_chief	KEMBuu1	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ ¹ k ə ⁵ ŋ
220	276_chief	KCYBuu2	ŋkə́ŋə̀ / bə̀ŋkə́ŋ	ŋ k ə ⁵ ŋ ə ¹
221	276_chief	KHKFang12	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
222	276_chief	DPNFang13	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
223	276_chief	KDVFang1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
224	276_chief	KJSFang2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
225	276_chief	JGYKoshin3	fèɲ / tə́fêɲ	f e ¹ ɲ
226	276_chief	TELKoshin4	fə̀ɲ / tə̀fə̂ɲ	f ə ¹ ɲ
227	276_chief	DPJKoshin1	ø /  tófə̂n	t o ⁵ f ə ⁵ ¹ n
228	276_chief	MRYKoshin2	fɛ̀ɲ /  tófə̂n	f ɛ ¹ ɲ
229	276_chief	KCSKung3	fɔ̀ʲ / sə̀fɔ̂ʲ	f ɔ ¹ j
230	276_chief	NJSKung4	fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀	f ɔ ¹ ɪ ¹
231	276_chief	ZKGKung1	fɔ̀ɪ̀ / sə̀fɔ́ɪ̀	f ɔ ¹ ɪ ¹
232	276_chief	BNMKung2	fɔ̀ɪ̀ / sə́fɔ̀ɪ̀	f ɔ ¹ ɪ ¹
233	276_chief	NMNMundabli3	ŋkʊ̌ŋ / bòŋkʊ̌ŋ	ŋ k ʊ ¹ ⁵ ŋ
234	276_chief	CENMundabli2	ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ	ŋ ¹ k ʊː ¹ ⁵ ŋ
235	276_chief	LFNMundabli1	ŋ̀kʊ̌ŋ / ŋkʊ̄ŋbó	ŋ ¹ k ʊ ¹ ⁵ ŋ
236	276_chief	NINMundabli4	ŋkʊ̌ŋ / ŋkʊ̄ŋbɛ̄n ~bòŋkʊ̄ŋ	ŋ k ʊ ¹ ⁵ ŋ
237	276_chief	NGTMunken3	ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́	ŋ k ʊ ⁵ ŋ
238	276_chief	NUNMunken4	ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ ¹ k ʊ ⁵ ŋ
239	276_chief	NEAMunken1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
240	276_chief	TNTMunken2	ŋkʊ̂ŋ ~ ŋkʊ́ŋ / bə̀ŋkʊ́ŋ ~bɪ̀ŋkʊ́ŋ	ŋ k ʊ ¹ ⁵ ŋ
241	276_chief	MCANgun3	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
242	276_chief	KBMNgun4	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
243	276_chief	WCANgun1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
244	276_chief	AOMNgun2	ŋ̀kʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ ¹ k ʊ ⁵ ŋ
245	276_chief	APBMumfu1	ŋkʊ̌ŋ / ŋkʊ̌ŋbə́ ~ŋkʊ́ŋ / ŋkʊ̄ŋ	ŋ k ʊ ¹ ⁵ ŋ
246	276_chief	DNMMumfu2	ŋ̀kʊ̌ŋ / bə̀ŋkʊ̄ŋbə́	ŋ ¹ k ʊ ¹ ⁵ ŋ
247	276_chief	BKBMashi2	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ	k ʊː ¹ ⁵ ŋ
248	276_chief	KFKMashi1	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ	k ʊː ¹ ⁵ ŋ
249	276_chief	ABSMissong1	ŋ̀kʊ́ŋ / bàŋkʊ́ŋ	ŋ ¹ k ʊ ⁵ ŋ
250	276_chief	AGAMissong2	ŋ̀kʊ́ŋ / bàŋkʊ́ŋbʊ̄	ŋ ¹ k ʊ ⁵ ŋ
251	385_deitygodgod	NVBAbar7	kə̀jì / ìjìbì	k ə ¹ j i ¹
252	385_deitygodgod	ECLAbar8	kə̀jì / bìjì	k ə ¹ j i ¹
253	385_deitygodgod	NMAAbar1	kéyìː / bìyìː	k e ⁵ j iː ¹
254	385_deitygodgod	NACAbar2	kə̀yìː / bìyìː	k ə ¹ j iː ¹
255	385_deitygodgod	NEMAjumbu9	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
256	385_deitygodgod	NVIAjumbu1	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
257	385_deitygodgod	KMNAjumbu2	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
258	385_deitygodgod	KDCAjumbu10	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
259	385_deitygodgod	ENBBiya1	kə̀jì / bìjì	k ə ¹ j i ¹
260	385_deitygodgod	ICNBiya2	kə̀jì / bìjì	k ə ¹ j i ¹
261	385_deitygodgod	NNBBuu3	kə̀yìː / bə̀yìː	k ə ¹ j iː ¹
262	385_deitygodgod	MNJBuu4	fə̀yìː / bə̀yìː	f ə ¹ j iː ¹
263	385_deitygodgod	KEMBuu1	kə̀yìː / bə̀yìː	k ə ¹ j iː ¹
264	385_deitygodgod	KCYBuu2	kə̀yìː / bə̀yìː	k ə ¹ j iː ¹
265	385_deitygodgod	KHKFang12	fə̀ʒʲə̀ / mə̀nʒʲə̀	f ə ¹ ʒ j ə ¹
266	385_deitygodgod	DPNFang13	fə̀ʒʲə̀ː / fə̀ʒʲə̀ː~mə̀ʒʲə̀ː	f ə ¹ ʒ j əː ¹
267	385_deitygodgod	KDVFang1	fə̀ʒìː / mə̀nʒìː	f ə ¹ ʒ iː ¹
