	Doculect1	Doculect2	cosDistance
81291	h16gkimpangu2012	h16gntandu	0.973323754
80503	h16cimbala	h16hkinkanu2012	0.973302449
88829	m61lenje	p11ndengeleko	0.973246319
68360	e621dkibosho	e623dkeni	0.973240361
88877	m62soli	p25mabia	0.973209270
79747	h131kisundicongokimongo1988	m11pimbwe	0.973200610
79051	g65kinga	m64tonga	0.973169701
82509	h32suku	p11ndengeleko	0.973159184
79919	h13kikunyi1989	p11ndengeleko	0.973156331
82490	h32suku	m41taabwa	0.973153759
76110	g36kami	n11manda	0.973149418
62139	d32birabunia	m61lenje	0.973148197
87802	l52lunda	m52lala	0.973140858
80360	h16cilinji	h16cimbala	0.973139424
82347	h321soonde	l31alubakasai	0.973128656
73270	f32nyaturuwil	jd64shubi	0.973101950
23611	b11cgalwa	b11fenenga	0.973090145
67945	e621bmachame	e622cvunjo	0.973084874
69177	e622cvunjo	e65gweno	0.973072302
74975	g31zigua	g36kami	0.973060027
78482	g61sangu	p25mabia	0.973046177
89129	n13matengo	p25mabia	0.973019211
71361	e74atuveta	g32kwere	0.972995462
83188	jd65hangaza	m31nyakyusa	0.972975013
83178	jd65hangaza	m13fipa	0.972949357
75628	g33zaramo	p23simakonde	0.972864580
88589	m28lambya	s42zulu	0.972856048
85849	je43kuria	je43kuriatari	0.972830078
82370	h321soonde	m41taabwa	0.972803852
79045	g65kinga	m41taabwa	0.972801293
69173	e622cvunjo	e623akiseri	0.972800718
85305	je401ngoreme	je402ikizu	0.972791492
79946	h16akisikongo2013	h16akisolongodrc2012	0.972760908
79759	h131kisundicongokimongo1988	m31nyakyusa	0.972750784
48064	c22akwa	c25eeboyi	0.972734004
84672	je25jita	m21ndali	0.972659004
78602	g62hehe	m28lambya	0.972650197
88323	m21wanda	p11ndengeleko	0.972646570
79799	h131kisundicongokimongo1988	s41xhosa	0.972572045
76127	g36kami	p25mabia	0.972544559
78442	g61sangu	m11pimbwe	0.972535304
71359	e74atuveta	g31zigua	0.972520957
72415	f23sumbwa	m14rungu	0.972508163
46907	c141bonyala	c25mboshi	0.972501701
72794	f25bungu	m41taabwa	0.972489087
83031	jd64shubi	je41maragoli	0.972488125
