Doculect	Gloss	Form	Segments	SalienceScore
g42dunguja	come	ɟa	ɟ a	112
g42swahili	hunger	jaa	j a a	84
g43kae	come	ɟa	ɟ a	82
g44angazija	belly	mmɓa	m m ɓ a	56
g44bndzwani	fatoil	maʈa	m a ʈ a	69
g44dmaore	come	ʒa	ʒ a	74
g51pogoro	bite	kuluma	k u l u m a	41
g52ndamba	bed	ulili	u l i l i	73
g61sangu	tree	ilipiʃi	i l i p i ʃ i	54
g62hehe	leg	iligulu	i l i g u l u	85
g63bena	leg	iligulu	i l i g u l u	63
g64pangwa	eye	liho	l i h o	42
g65kinga	sleep	itulu	i t u l u	67
g66wanji	leg	luɣulu	l u ɣ u l u	84
h111hangala	ear	kutu	k u t u	44
h11beembe	ear	kutu	k u t u	100
h12civilicongo	leg	kuulu	k u u l u	53
h131kisundicongokimongo1988	person	muutu	m u u t u	53
h13kikunyi1989	leg	kuulu	k u u l u	44
h16akisikongo2013	give	vaana	v a a n a	56
h16akisolongodrc2012	bird	nuni	n u n i	59
h16bkindibu2013	skin	nkanda	n k a n d a	69
h16cilinji	cloud	dituuti	d i t u u t i	38
h16cimbala	give	vaana	v a a n a	70
h16cizobe	bird	nuni	n u n i	44
h16ckiyombedrc1982	leaf	eeza	e e z a	80
h16cyombe	bark	ule	u l e	65
h16dciwoyodrc2012	give	vaana	v a a n a	99
h16flaadi	mouth	nnua	n n u a	58
h16gkimpangu2012	skin	nkaanda	n k a a n d a	68
h16gntandu	give	vana	v a n a	66
h16hkinkanu2012	skin	nkanda	n k a n d a	74
h16kikongo	skin	nkanda	n k a n d a	57
h16kimbatangidinga	skin	nkanda	n k a n d a	60
h16kimbeko	skin	nkanda	n k a n d a	64
h21akimbundu	groundsoil	ixi	i x i	114
h31yaka	child	aana	a a n a	170
h321soonde	ashes	wuutsu	w u u ts u	62
h32suku	leg	kuulu	k u u l u	64
h41mbala	bone	giguudi	g i g u u d i	61
h42hunganna	arm	koko	k o k o	32
jd53shi	eye	iisuu	i i s u u	68
jd62rundi	skin	uruhu	u r u h u	96
jd64shubi	nose	izuuru	i z u u r u	101
jd65hangaza	knee	ivi	i v i	84
jd66kiha	salt	umuuɲu	u m u u ɲ u	172
jd67kivinza	salt	umuɲu	u m u ɲ u	104
je11runyoro	breast	eibere	e i b e r e	48
je12rutooro	intestine	amaara	a m a a r a	50
je13runyankore	breast	eibeere	e i b e e r e	70
je14rukiga	breast	eibere	e i b e r e	45
je15luganda	firewood	luku	l u k u	68
je16lusoga	arm	omukowo	o m u k o w o	28
je17gwere	knee	kizwi	k i z w i	43
je21runyambo	urine	omukojo	o m u k o j o	37
je22haya	hair	eiʃoke	e i ʃ o k e	38
je23zinza	come	iiza	i i z a	41
je24kerebe	house	enzu	e n z u	27
je25jita	groundsoil	isi	i s i	40
je25kilegi	arm	okuboko	o k u b o k o	46
je25mkwaya	bed	oburiri	o b u r i r i	57
je31cbukusu	louse	tʰa	tʰ a	120
je31lumasaaba	egg	liiki	l i i k i	82
je32luyia	root	mili	m i l i	72
je34samialugwe	fingernail	edete	e d e t e	72
je401ngoreme	fire	omooro	o m o o r o	122
je402ikizu	big	koro	k o r o	134
je403suba	fire	omoro	o m o r o	106
je404shasi	bed	oβorere	o β o r e r e	89
je41maragoli	two	viviri	v i v i r i	66
je42gusii	bed	oβorere	o β o r e r e	135
je43kuria	egg	iriiɣi	i r i i ɣ i	126
je43kuriamago	smoke	irioki	i r i o k i	117
je43kuriatari	fire	omorro	o m o r r o	112
je44zanaki	see	rora	r o r a	105
je45nata	fire	omororo	o m o r o r o	107
k11ciokwe	drink	nw	n w	44
k14lwena	cloud	vwi	v w i	45
k15mbunda	knee	livuli	l i v u l i	61
k21lozi	cloud	lilu	l i l u	86
k31luyana	tongue	lulimi	l u l i m i	78
k332rumanyo	sun	ʝûβa	ʝ û β a	121
k33kwangali	breast	evere	e v e r e	38
komgrassfields	smoke	əfələʔ	ə f ə l ə ʔ	274
kulungjarawan	nose	lulu	l u l u	54
l11pende	burn	gûhja	g û h j a	62
l12bholu	liver	diibi	d i i b i	107
l13kwese	bone	gigûdi	g i g û d i	126
l221lwalwa	night	busuku	b u s u k u	56
l23songe	night	bufuku	b u f u k u	57
l31alubakasai	ashes	butu	b u t u	55
l32kanyok	moon	su	s u	80
l33lubashaba	arm	diːkasa	d iː k a s a	37
l34hemba	bite	usuma	u s u m a	60
l35sanga	eat	di	d i	77
l41kaonde	walk	ja	j a	74
l51salampasu	egg	j	j	147
l52lunda	ashes	usuti	u s u t i	55
l53runda	eat	di	d i	98
l62nkoya	eye	liho	l i h o	58
m11pimbwe	root	imisisi	i m i s i s i	89
m12lungwa	fly	ukuuluka	u k u u l u k a	90
m13fipa	two	viili	v i i l i	123
m14rungu	intestine	mala	m a l a	56
m15mambwe	groundsoil	iivu	i i v u	81
m21ndali	rain	ifula	i f u l a	31
m21wanda	belly	uwula	u w u l a	52
m22namwanga	big	kulu	k u l u	86
m23nyiha	egg	iji	i j i	86
m24malila	root	iizi	i i z i	91
m25safwa	hair	isisi	i s i s i	94
m28lambya	bed	icilili	i c i l i l i	93
m31nyakyusa	goat	imbukuku	i m b u k u k u	60
m41taabwa	leg	kuulu	k u u l u	65
m42bemba	night	ubusiku	u b u s i k u	93
m52lala	leg	ukuulu	u k u u l u	136
m54lamba	big	kulu	k u l u	77
m61lenje	hair	mususu	m u s u s u	42
m62soli	hair	miʃiʃi	m i ʃ i ʃ i	49
m64tonga	leg	kuulu	k u u l u	47
mbulajarawan	drink	nu	n u	90
moghamograssfields	fingernail	iji	i j i	123
mungakagrassfields	tree	tʉ	t ʉ	200
n11manda	see	kulola	k u l o l a	28
n12ngoni	tongue	lulimi	l u l i m i	32
n13matengo	eye	lihu	l i h u	35
n14mpoto	bite	kuluma	k u l u m a	32
n21tumbukamalawi	head	mutu	m u t u	28
n31chewa	come	dza	dz a	60
n42kunda	animal	ɲama	ɲ a m a	128
njengrassfields	five	tɛɛn	t ɛ ɛ n	35
okugrassfields	give	fɔ	f ɔ	49
p11ndengeleko	navel	luku	l u k u	51
p12rufiji	leg	lugolo	l u g o l o	39
p13matumbi	louse	mala	m a l a	54
p14ngindo	big	ngolo	n g o l o	27
p15mbunga	two	ili	i l i	62
p21yao	hunger	sala	s a l a	44
p22mwera	tail	nʃila	n ʃ i l a	36
p23simakonde	ashes	liu	l i u	38
p25mabia	tongue	lulimi	l u l i m i	29
p31emakhua	liver	hapa	h a p a	75
p31gikorovere	salt	maakʰa	m a a kʰ a	189
r11umbundu	house	onjo	o n j o	78
r21kwanyama	arm	okwooko	o k w o o k o	123
r22ndonga	knee	ongolo	o n g o l o	89
r31herero	arm	okuoko	o k u o k o	97
s11shona	bite	ruma	r u m a	46
s16kalanga	shame	haɲa	h a ɲ a	74
s21venda	give	fha	f h a	74
s311shekgalagari	heart	pelo	p e l o	81
s31tswana	come	tɬa	tɬ a	201
