ConceptA	ConceptB	ChisqPvalue
breast	fire	0.0004997501249375312
breast	fish	0.0014992503748125937
breast	hair	0.0024987506246876563
breast	horn	0.044977511244377814
breast	kill	0.0004997501249375312
breast	know	0.004497751124437781
breast	leg	0.0079960019990005
breast	man	0.006496751624187906
breast	moon	0.01199400299850075
breast	mouth	0.00849575212393803
breast	name	0.012993503248375811
breast	neck	0.014492753623188406
breast	night	0.0014992503748125937
breast	nose	0.022988505747126436
breast	rain	0.01199400299850075
breast	road	0.021989005497251374
breast	stone	0.0004997501249375312
breast	sun	0.0009995002498750624
breast	tail	0.0074962518740629685
breast	tongue	0.035982008995502246
breast	tooth	0.028985507246376812
breast	water	0.044977511244377814
breast	woman	0.026986506746626688
burn	die	0.015992003998001
burn	dog	0.049475262368815595
