a11londo
r	2.59	33
uː	2.37	3
ð	4.77	8
ɣ	2.98	18
ɲ	2.5	14

e53meru
f	3.5	14
i	2.16	77
r	2.1	28

e53meruimenti
g	2.16	22
r	2.39	31
t	2.28	25
tʷ	6.13	1

e53merutig
r	2.29	30
t	2.28	25
tʷ	6.13	1
u	2.28	83

e53miutini
eː	3.02	3
iː	3.33	4
oː	4.24	6
r	2.68	34
uː	2.37	3
ð	5.39	9
ɔː	2.92	2
ɣ	2.61	16
ɲ	3.27	17

e53tigania
r	2.39	31
ð	4.77	8
ɲ	2.5	14

e541chuka
c	2.3	6
g	2.85	26
r	2.68	34
tʷ	6.13	1
ð	3.53	6

e54tharaka
r	2.39	31
t	2.83	28
tʷ	6.13	1

e55kamba
i	-2.09	15
oː	2.03	3
ð	6.01	10
β	3.73	10

e55kambakitu
e	2.61	52
o	2.87	77
sʲ	9.15	1
t	2.1	24
tʷ	6.13	1

e55kambamach
e	2.94	56
k	2.19	44
o	2.51	71
sʲ	9.15	1
tʷ	6.13	1
ð	5.39	9

e56daiso
r	2.2	29

e621bmachame
f	3.18	13
lʲ	2.71	1
ʁ	9.64	9

e621csiha
f	3.5	14
h	2.16	18
i	2.1	76
ʃ	2.88	9

e621dkibosho
d	2.77	28
lʲ	2.71	1

e622akimochi
ɺ	4.94	2

e622clema
lʲ	2.71	1
r	2.39	31
ɹ	14.53	1

e622cmamba
lʲ	2.71	1
ɹ	14.53	1
ʁ	3.13	3

e622cvunjo
lʲ	5.75	2
lˠ	20.57	2
ɺ	19.95	8
ʁ	5.3	5

e623akiseri
m	2.25	50
ʁ	6.38	6
ʃʷ	14.53	1
ʎ	20.57	1

e623dkeni
f	2.24	10
m	2.37	51
tʃ	2.67	8
ʃ	3.98	12

e623mkuu
ʁ	3.13	3
ʃ	3.25	10

e64kahe
d	2.05	23
gʲ	14.53	1
ɲ	2.76	15

e65gweno
gʷ	3.45	1
r	2.0	27
tʰ	3.7	2

e701elwana
a	2.08	86
kʼ	7.72	1
tʃʼ	20.57	1
t̪	4.11	2
ɪ	4.4	23
ʊ	3.29	22

e71aupperpokomo
dʒ	3.06	8
pʰ	3.18	1
r̥	3.42	1
tʃ	2.67	8
ǀ	14.53	1
ɸ	4.11	5

e72agiryama
dz	3.64	12
pʰ	6.52	2
ts	2.42	7
tsʰ	14.53	1
ɖ	2.62	1

e73digo
dz	3.64	12
pʰ	6.52	2
tsʰ	14.53	1
tʃ	2.26	7
tʃʰ	8.35	1
β	2.1	6

e74adawida
tʃ	2.67	8

e74atuveta

f12bende
s	2.88	24
β	4.55	12

f21ntuzu
g	2.16	22
ɪ	2.58	14
ʊ	7.31	47

f21sukuma

f22nyamwezi
b	-2.04	0
ɪ	2.79	15
ʊ	4.25	28
β	7.41	19

f23sumbwa
sʲ	9.15	1
z	2.28	14

f24kimbu
lʷ	5.88	1
x	10.4	12

f25bungu
kʷ	2.99	1
lʲ	2.71	1
w	2.03	24
ɪː	9.16	1
ʃʷ	14.53	1

f31nyiramba
kʷ	6.13	2
ʊ	5.54	36

f32nyaturucha
lʲ	2.71	1

f32nyaturuwil
gʷ	3.45	1

f33langi
rʲ	7.72	1

fefegrassfields
aˀ	6.2	2
c	2.3	6
h	2.16	18
p	2.05	12
ɛˀ	11.06	5
ɥ	4.45	3
ʂ	4.81	5
ʉ	8.49	18
ʌ	4.66	2
ʐ	19.39	8
ʔ	7.29	15

g11gogo
c	2.3	6

g12kagulu
c	2.3	6
g	2.16	22
mʰ	20.57	4
nʰ	14.53	3
ŋʰ	19.95	4

g22anorthpare
dʒ	3.48	9
v	2.25	11

g22asu
dʒ	2.2	6
z	2.28	14

g22bsouthpare

g23sambaa
pʰ	3.18	1
z	2.95	17
ʃ	2.14	7

g24bondei
m	2.12	49
z	3.18	18

g31zigua
dʲ	7.21	1
z	2.06	13

g32doe
dʲ	7.21	1
m	2.25	50
z	2.51	15

g32kwere
z	2.06	13

g33zaramo
dʲ	7.21	1
z	2.28	14

g34nguungulu
dʲ	7.21	1

g35luguru
g	2.33	23

g36kami
h	2.48	20

g37kutu
z	2.51	15

g39saghala
dʒ	2.63	7

g401mwani
ɟ	3.21	3

g412mwiini
d̪	8.67	4
l̪	9.4	16
n̪	5.81	3
t̪	8.35	4
t̪ʰ	4.66	1
ɱ	2.13	1

g41bajuni
d̪	6.47	3
n̪	19.52	10
pʰ	3.18	1
t	-2.27	0
tʃ	4.73	13
tʃʰ	8.35	1
t̪	8.35	4
t̪ʰ	4.66	1
v	3.93	17
ð	3.53	6
ɟ	2.1	2

g42aamu
d̪	8.67	4
pʰ	6.52	2
t̪	8.35	4
t̪ʰ	4.66	1

g42dunguja
tʃ	2.26	7
ɟ	13.22	12

g42swahili
tʃ	2.26	7

g43kae
pʰ	6.52	2
tʃʰ	16.79	2
tʰ	5.62	3
ɟ	11.0	10

g44angazija
dʒ	3.48	9
d̪	2.07	1
t	-2.27	0
ts	2.0	6
ɓ	4.09	13
ɖ	5.34	2
ɗ	2.6	7
ʃ	2.14	7
ʈ	2.97	2

g44bndzwani
t	-2.27	0
ts	2.0	6
ɓ	2.06	7
ɖ	10.77	4
ʈ	12.17	8
ʒ	7.99	8

g44dmaore
t	-2.27	0
ts	2.42	7
ɓ	2.4	8
ɖ	16.2	6
ʃ	2.14	7
ʈ	12.17	8
ʒ	9.01	9

g51pogoro
ʃ	2.88	9

g52ndamba
tʃ	2.26	7

g61sangu
lʷ	5.88	1
x	3.37	4

g62hehe
lʲ	2.71	1

g63bena
dz	2.63	9

g64pangwa
h	3.29	25
lʲ	2.71	1
ŋʰ	4.94	1

g65kinga
