Doculect1	Doculect2	SharedCognateCount
JGYKoshin3	NDNMissong5	32
JGYKoshin3	NEAMunken1	30
JGYKoshin3	NEMAjumbu9	43
JGYKoshin3	NFKBiya7	26
JGYKoshin3	NGTMunken3	28
JGYKoshin3	NINMundabli4	57
JGYKoshin3	NJNBiya6	27
JGYKoshin3	NJSKung4	30
JGYKoshin3	NMAAbar1	25
JGYKoshin3	NMNMundabli3	58
JGYKoshin3	NMSMissong4	32
JGYKoshin3	NNBBuu3	63
JGYKoshin3	NSFBiya5	27
JGYKoshin3	NUNMunken4	26
JGYKoshin3	NVBAbar7	30
JGYKoshin3	NVIAjumbu1	38
JGYKoshin3	TELKoshin4	119
JGYKoshin3	TNTMunken2	28
JGYKoshin3	WCANgun1	28
JGYKoshin3	ZKGKung1	21
KBMNgun4	KCSKung3	24
KBMNgun4	KCYBuu2	46
KBMNgun4	KDCAjumbu10	37
KBMNgun4	KDVFang1	19
KBMNgun4	KEMBuu1	45
KBMNgun4	KFKMashi1	20
KBMNgun4	KHKFang12	26
KBMNgun4	KJSFang2	20
KBMNgun4	KMNAjumbu2	37
KBMNgun4	LFNMundabli1	28
KBMNgun4	MCANgun3	114
KBMNgun4	MEAMumfu3	27
KBMNgun4	MNJBuu4	49
KBMNgun4	MRYKoshin2	20
KBMNgun4	NACAbar2	90
KBMNgun4	NCCMumfu4	27
KBMNgun4	NCMMashi5	22
KBMNgun4	NDNMissong5	83
KBMNgun4	NEAMunken1	90
KBMNgun4	NEMAjumbu9	35
KBMNgun4	NFKBiya7	109
KBMNgun4	NGTMunken3	99
KBMNgun4	NINMundabli4	26
KBMNgun4	NJNBiya6	109
KBMNgun4	NJSKung4	22
KBMNgun4	NMAAbar1	87
KBMNgun4	NMNMundabli3	29
KBMNgun4	NMSMissong4	86
KBMNgun4	NNBBuu3	52
KBMNgun4	NSFBiya5	109
KBMNgun4	NUNMunken4	98
KBMNgun4	NVBAbar7	107
KBMNgun4	NVIAjumbu1	35
KBMNgun4	TELKoshin4	28
KBMNgun4	TNTMunken2	96
KBMNgun4	WCANgun1	117
KBMNgun4	ZKGKung1	17
KCSKung3	KCYBuu2	28
KCSKung3	KDCAjumbu10	29
KCSKung3	KDVFang1	18
KCSKung3	KEMBuu1	25
KCSKung3	KFKMashi1	14
KCSKung3	KHKFang12	25
KCSKung3	KJSFang2	17
KCSKung3	KMNAjumbu2	30
KCSKung3	LFNMundabli1	20
KCSKung3	MCANgun3	23
KCSKung3	MEAMumfu3	16
KCSKung3	MNJBuu4	30
KCSKung3	MRYKoshin2	24
KCSKung3	NACAbar2	21
KCSKung3	NCCMumfu4	18
KCSKung3	NCMMashi5	14
KCSKung3	NDNMissong5	24
KCSKung3	NEAMunken1	24
KCSKung3	NEMAjumbu9	30
KCSKung3	NFKBiya7	24
KCSKung3	NGTMunken3	23
KCSKung3	NINMundabli4	19
KCSKung3	NJNBiya6	28
KCSKung3	NJSKung4	126
KCSKung3	NMAAbar1	20
KCSKung3	NMNMundabli3	19
KCSKung3	NMSMissong4	24
KCSKung3	NNBBuu3	28
KCSKung3	NSFBiya5	22
KCSKung3	NUNMunken4	24
KCSKung3	NVBAbar7	26
KCSKung3	NVIAjumbu1	28
KCSKung3	TELKoshin4	25
KCSKung3	TNTMunken2	26
KCSKung3	WCANgun1	23
KCSKung3	ZKGKung1	85
KCYBuu2	KDCAjumbu10	52
KCYBuu2	KDVFang1	41
KCYBuu2	KEMBuu1	110
KCYBuu2	KFKMashi1	34
KCYBuu2	KHKFang12	57
KCYBuu2	KJSFang2	38
KCYBuu2	KMNAjumbu2	51
KCYBuu2	LFNMundabli1	55
KCYBuu2	MCANgun3	45
KCYBuu2	MEAMumfu3	47
KCYBuu2	MNJBuu4	107
KCYBuu2	MRYKoshin2	44
KCYBuu2	NACAbar2	49
KCYBuu2	NCCMumfu4	52
KCYBuu2	NCMMashi5	34
KCYBuu2	NDNMissong5	50
KCYBuu2	NEAMunken1	52
KCYBuu2	NEMAjumbu9	53
KCYBuu2	NFKBiya7	46
KCYBuu2	NGTMunken3	47
