ID	Concept	Doculect	Value	Tokens
490	chief	NEAMunken1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
491	chief	TNTMunken2	ŋkʊ̂ŋ ~ ŋkʊ́ŋ / bə̀ŋkʊ́ŋ ~bɪ̀ŋkʊ́ŋ	ŋ k ʊ.¹⁵/ʊ ŋ
492	chief	MCANgun3	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
493	chief	KBMNgun4	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
494	chief	WCANgun1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
495	chief	AOMNgun2	ŋ̀kʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ.¹/ŋ k ʊ.⁵/ʊ ŋ
496	chief	APBMumfu1	ŋkʊ̌ŋ / ŋkʊ̌ŋbə́ ~ŋkʊ́ŋ / ŋkʊ̄ŋ	ŋ k ʊ.¹⁵/ʊ ŋ
497	chief	DNMMumfu2	ŋ̀kʊ̌ŋ / bə̀ŋkʊ̄ŋbə́	ŋ.¹/ŋ k ʊ.¹⁵/ʊ ŋ
498	chief	BKBMashi2	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ	k ʊː.¹⁵/ʊː ŋ
499	chief	KFKMashi1	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ	k ʊː.¹⁵/ʊː ŋ
500	chief	ABSMissong1	ŋ̀kʊ́ŋ / bàŋkʊ́ŋ	ŋ.¹/ŋ k ʊ.⁵/ʊ ŋ
501	chief	AGAMissong2	ŋ̀kʊ́ŋ / bàŋkʊ́ŋbʊ̄	ŋ.¹/ŋ k ʊ.⁵/ʊ ŋ
642	deity, god, God	NVBAbar7	kə̀jì / ìjìbì	k ə.¹/ə j i.¹/i
643	deity, god, God	ECLAbar8	kə̀jì / bìjì	k ə.¹/ə j i.¹/i
644	deity, god, God	NMAAbar1	kéyìː / bìyìː	k e.⁵/e j iː.¹/iː
645	deity, god, God	NACAbar2	kə̀yìː / bìyìː	k ə.¹/ə j iː.¹/iː
646	deity, god, God	NEMAjumbu9	kə̀zə̀ / bə̀zə̀	k ə.¹/ə z ə.¹/ə
647	deity, god, God	NVIAjumbu1	kə̀zə̀ / bə̀zə̀	k ə.¹/ə z ə.¹/ə
648	deity, god, God	KMNAjumbu2	kə̀zə̀ / bə̀zə̀	k ə.¹/ə z ə.¹/ə
649	deity, god, God	KDCAjumbu10	kə̀zə̀ / bə̀zə̀	k ə.¹/ə z ə.¹/ə
650	deity, god, God	ENBBiya1	kə̀jì / bìjì	k ə.¹/ə j i.¹/i
651	deity, god, God	ICNBiya2	kə̀jì / bìjì	k ə.¹/ə j i.¹/i
652	deity, god, God	NNBBuu3	kə̀yìː / bə̀yìː	k ə.¹/ə j iː.¹/iː
653	deity, god, God	MNJBuu4	fə̀yìː / bə̀yìː	f ə.¹/ə j iː.¹/iː
654	deity, god, God	KEMBuu1	kə̀yìː / bə̀yìː	k ə.¹/ə j iː.¹/iː
