ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
8856	cow, cattle	KCSKung3	mbɔ̀ŋ / sə̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	17	17.M.C 17.P.C 17.U.V 17.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8857	cow, cattle	NJSKung4	mbɔ̀lɔ́ʔ / sə̀mbɔ̀lɔ́ʔ ~ ( mbɔ̀ŋ sê )	m b ɔ.¹/ɔ l ɔ.⁵/ɔ ʔ	4 1 7 5 7 1	ACYBYN	MPULUH	41	41.M.C 41.P.C 41.U.V 41.L.C 41.U.V 41.H.c	2.0 1.5 1.3 1.75 1.3 0.8	mbɔ.¹/ɔlɔ.⁵/ɔʔ	0	898	m - b ɔ.¹/ɔ l ɔ.⁵/ɔ ʔ
8858	cow, cattle	ZKGKung1	mbɔ̀ŋ / sə́mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	53	53.M.C 53.P.C 53.U.V 53.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8859	cow, cattle	BNMKung2	mbɔ̀lə́ʔ / sə̀mbɔ̀ŋ	m b ɔ.¹/ɔ l ə.⁵/ə ʔ	4 1 7 5 7 1	ACYBYN	MPULEH	7	7.M.C 7.P.C 7.U.V 7.L.C 7.E.V 7.H.c	2.0 1.5 1.3 1.75 1.3 0.8	mbɔ.¹/ɔlə.⁵/əʔ	0	898	m - b ɔ.¹/ɔ l ə.⁵/ə ʔ
8860	cow, cattle	NMNMundabli3	m̀bɔ̀ŋ / m̀bɔ̀ŋ	m.¹/m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	43	43.M.C 43.P.C 43.U.V 43.N.c	2.0 1.5 1.3 0.8	m.¹/mbɔ.¹/ɔŋ	0	898	m.¹/m - b ɔ.¹/ɔ ŋ - -
8861	cow, cattle	CENMundabli2	mbɔ̂ŋ / mbɔ̀ŋ bó	m b ɔ.⁵¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	8	8.M.C 8.P.C 8.U.V 8.N.c	2.0 1.5 1.3 0.8	mbɔ.⁵¹/ɔŋ	0	898	m - b ɔ.⁵¹/ɔ ŋ - -
8862	cow, cattle	LFNMundabli1	mbɔ̀ŋ / mbɔ̀ŋbó	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	26	26.M.C 26.P.C 26.U.V 26.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8863	cow, cattle	NINMundabli4	mbɔ̀ŋ / mbɔ̀ŋbó	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	39	39.M.C 39.P.C 39.U.V 39.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8864	cow, cattle	NGTMunken3	mbɔ̀ŋ / bə̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	38	38.M.C 38.P.C 38.U.V 38.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8865	cow, cattle	NUNMunken4	mbɔ̀ŋ / bɛ̀mbɔ̀ŋ~bèmbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	47	47.M.C 47.P.C 47.U.V 47.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8866	cow, cattle	NEAMunken1	mbɔ̀ŋ / bə̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	35	35.M.C 35.P.C 35.U.V 35.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8867	cow, cattle	TNTMunken2	mbɔ̀ŋ / bìnmbɔ̀ŋ~bə̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	51	51.M.C 51.P.C 51.U.V 51.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8868	cow, cattle	MCANgun3	ⁿbɔ̀ŋ / bɛ̀ⁿbɔ̀ŋ~bàⁿbɔ̀ŋ	ⁿb ɔ.¹/ɔ ŋ	1 7 4	AXN	PUN	27	27.P.C 27.U.V 27.N.c	2.0 1.5 0.8	ⁿbɔ.¹/ɔŋ	0	898	- - ⁿb ɔ.¹/ɔ ŋ - -
8869	cow, cattle	KBMNgun4	ⁿbɔ̀ŋ / bə̀ⁿbɔ̀ŋ	ⁿb ɔ.¹/ɔ ŋ	1 7 4	AXN	PUN	16	16.P.C 16.U.V 16.N.c	2.0 1.5 0.8	ⁿbɔ.¹/ɔŋ	0	898	- - ⁿb ɔ.¹/ɔ ŋ - -
8870	cow, cattle	WCANgun1	mbɔ̀ŋ / bɛ̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	52	52.M.C 52.P.C 52.U.V 52.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8871	cow, cattle	AOMNgun2	mbɔ̀ŋ / bɛ̀mbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	3	3.M.C 3.P.C 3.U.V 3.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
8872	cow, cattle	APBMumfu1	mbɔ̀ŋ / mbɔ̀ŋbə́	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	4	4.M.C 4.P.C 4.U.V 4.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
