NUMBER	ENGLISH	POS
777	k.o spear (sharp head)	N/A
778	k.o trap	N/A
779	k.o trap (a dug hole)	N/A
780	k.o trap (for partridge)	N/A
781	k.o trap (neck trap)	N/A
782	k.o trap(rope)	N/A
783	k.o tree	N/A
784	k.o tree (boma) (fruit, children spin)	N/A
785	k.o tree (boundary tree)	N/A
786	k.o tree (brown edible leaves)	N/A
787	k.o tree (camwood tree)	N/A
788	k.o tree (caterpillars for crabs)	N/A
789	k.o tree (leaf)	N/A
790	k.o tree (spoon-fruit)	N/A
791	k.o. dance	N/A
792	kernel	N/A
793	kernel (uncracked)	N/A
794	kernel chaff	N/A
795	kernel oil	N/A
796	kernel shell (bark)	N/A
797	kick (football)	N/A
798	kill	N/A
799	kingfisher	N/A
800	kite	N/A
801	knee	N/A
802	kneel	N/A
803	knife	N/A
804	knit (cloth, cap)	N/A
805	knitting pin	N/A
806	knock (door)	N/A
807	knock (head)	N/A
808	know (notice)	N/A
809	knowledge	N/A
810	knuckle	N/A
811	labour (birth)	N/A
812	lack	N/A
813	ladder	N/A
814	lake	N/A
815	land	N/A
816	laugh (n)	N/A
817	laugh (v)	N/A
818	laughter	N/A
819	law (n)	N/A
820	laziness	N/A
821	lazy man	N/A
822	leaf	N/A
823	lean	N/A
824	learn, teach	N/A
825	leave (a place)	N/A
826	leg	N/A
827	leopard	N/A
828	leprosy	N/A
829	letter	N/A
830	level	N/A
831	lice	N/A
832	lick	N/A
833	lie	N/A
834	lie (deceive) (v)	N/A
835	lie (n), false (n)	N/A
836	lie (talk)	N/A
837	lift together onto a head	N/A
838	light	N/A
839	light (weight)	N/A
840	light clear (grass)	N/A
841	light fire, switch on	N/A
842	like, love	N/A
843	line (n)	N/A
844	lion	N/A
845	listen, hear	N/A
846	little hand bag	N/A
847	live, stay	N/A
848	liver	N/A
849	lizard	N/A
850	lizard (smooth skin)	N/A
851	loan	N/A
852	lock (key)	N/A
853	lock (v)	N/A
854	locust	N/A
855	long drum	N/A
856	long length, height	N/A
857	long mouth rat	N/A
858	long neck calabash	N/A
859	look	N/A
860	loosen	N/A
861	lower grinding stone	N/A
862	lower-grinding-stone(pepper)	N/A
863	lower-pepper-stone	N/A
864	lungs	N/A
865	maggot	N/A
866	make (yellow soup)	N/A
867	male	N/A
868	male lizard (red head)	N/A
869	male youth dance	N/A
870	man	N/A
871	manage	N/A
872	many	N/A
873	market	N/A
874	marrow	N/A
875	marrow (bone)	N/A
876	marrow (brain)	N/A
877	mat (bamboo splint)	N/A
878	mat (rhizom plant)	N/A
879	mat (soft plant  tissue)	N/A
880	mbanga soup	N/A
881	mbanga soup fish	N/A
882	meander (stick, road, river, bamboo)	N/A
883	measure	N/A
884	measurement	N/A
885	meat	N/A
886	meat mat	N/A
887	meat slate	N/A
888	meat-gauze	N/A
889	medicine	N/A
890	melt	N/A
891	message, press	N/A
892	messenger	N/A
893	milk	N/A
894	millipede	N/A
895	minimise (someone, thing, gift)	N/A
896	miscarriage (pig)	N/A
897	miss road	N/A
898	mist, fog	N/A
899	mix raw corn beer mix (liquid)	N/A
900	mix soft with strong shar	N/A
901	mock	N/A
902	money	N/A
903	monkey	N/A
904	month	N/A
905	moon	N/A
906	mortar	N/A
907	mosquito	N/A
908	moss plant	N/A
909	mother	N/A
910	mother-in-law	N/A
911	mould (bricks)	N/A
912	mountain	N/A
913	mouth	N/A
914	mud	N/A
915	mudfish	N/A
916	mulch (farm)	N/A
917	mumps	N/A
918	mushroom	N/A
919	musical pipe	N/A
920	nail	N/A
921	name	N/A
922	name child	N/A
923	native cup	N/A
924	native maggi spice	N/A
925	native pant (men)	N/A
926	native pant (women)	N/A
927	native umbrella	N/A
928	navel	N/A
929	neck	N/A
930	neck beads	N/A
931	neck-bead	N/A
932	necklace (women)	N/A
933	needle	N/A
934	net	N/A
935	nine (9)	N/A
936	nineteen (19)	N/A
937	ninety (90)	N/A
938	noise (thunder)	N/A
939	nose	N/A
940	nostril	N/A
941	oath (n)	N/A
942	obstruct	N/A
943	odour (n)	N/A
944	oil	N/A
945	oil chaff	N/A
946	oil chaff sieve	N/A
947	oil mill	N/A
948	omit	N/A
949	one (1)	N/A
950	one hundred (100)	N/A
951	one million (1,000,000)	N/A
952	one thousand (1000)	N/A
953	open	N/A
954	open (pot)	N/A
955	open eye	N/A
956	orange	N/A
957	outer palm nuts	N/A
958	owl	N/A
959	pain (n)	N/A
960	palace	N/A
961	palm (hand)	N/A
962	palm bamboo	N/A
963	palm barren fruit	N/A
964	palm beetle	N/A
965	palm beetle (from dead palm)	N/A
966	palm broom	N/A
967	palm cone	N/A
968	palm cone (empty)	N/A
969	palm cotton	N/A
970	palm flower	N/A
971	palm frond	N/A
972	palm grub	N/A
973	palm maggot (grub)	N/A
974	palm margot (yellow, destroys young palms)	N/A
975	palm nut	N/A
976	palm oil	N/A
977	palm thorns	N/A
978	palm tree	N/A
979	palmnuts(cracked)	N/A
980	pap	N/A
981	pap spoon	N/A
982	park	N/A
983	partridge (non red legs)	N/A
984	partridge (red legs)	N/A
985	pass	N/A
986	patches, dotted	N/A
987	pate (child)	N/A
988	pawpaw	N/A
989	pay	N/A
990	pay (fine)	N/A
991	peace plant	N/A
992	peak (fowl eat)	N/A
993	pear	N/A
994	peel (cocoyam with knife)	N/A
995	peel (corn)	N/A
996	peel (elephant stalk)	N/A
997	peel plantain; banana	N/A
998	pen	N/A
999	penis	N/A
1000	pepper	N/A
1001	pepper stone	N/A
1002	persist, insist	N/A
1003	person	N/A
1004	perspire (sweat)	N/A
1005	pestle	N/A
1006	pestle (cocoyam)	N/A
1007	pestle (for fufu)	N/A
1008	pestle (fufu)	N/A
1009	pestle (palm nut)	N/A
1010	pestle (pepper)	N/A
1011	piano (bamboo)	N/A
1012	piano (string)	N/A
1013	pick (lost)	N/A
1014	pick up	N/A
1015	pierce (with finger)	N/A
1016	pierce (with weapon)	N/A
1017	pig	N/A
1018	pillar	N/A
1019	pillar (in-house support ceiling)	N/A
1020	pimple	N/A
1021	pinch	N/A
1022	pineapple	N/A
1023	pipe	N/A
1024	place	N/A
1025	placenta	N/A
1026	plant (corn)	N/A
1027	plantain	N/A
1028	plantain ( a )	N/A
1029	plantain ( b )	N/A
1030	plantain ( c )	N/A
1031	plantain ( d )	N/A
1032	planting basket	N/A
1033	planting basket (waist)	N/A
1034	plaster (house)	N/A
1035	play (leisure)	N/A
1036	play (xylophone, drum, music, scream, shout	N/A
1037	pluck (banana eye)	N/A
1038	pluck (banana eyes repeatedly	N/A
1039	pluck (feather on grave)	N/A
1040	pluck broom (from palm frond)	N/A
1041	point (finger at)	N/A
1042	point torch	N/A
1043	poison	N/A
1044	pot	N/A
1045	pot-sizing stone	N/A
1046	potato	N/A
1047	pound (cocoyam)	N/A
1048	pour	N/A
1049	power (n)	N/A
1050	praise (God)	N/A
1051	pray (to God)	N/A
1052	praying mantis	N/A
1053	pregnancy	N/A
1054	prepare slimmy soup	N/A
1055	press test ripeness	N/A
1056	price (n)	N/A
1057	prince	N/A
1058	princess	N/A
1059	prone (palm tree)	N/A
1060	prostitute (v)	N/A
1061	pumpkin fruit	N/A
1062	pumpkin leaf	N/A
1063	pus	N/A
1064	push	N/A
1065	put down (load from head)	N/A
1066	put excess oil in vegetables	N/A
1067	put injunction order	N/A
1068	put medicine (farm)	N/A
1069	put medicine (thief)	N/A
1070	put normal oil in vegetable	N/A
1071	quarrel (n)	N/A
1072	quarrel (v)	N/A
1073	quarter	N/A
1074	quarter head	N/A
1075	raffia	N/A
1076	raffia bamboo	N/A
1077	raffia fibre	N/A
1078	raffia fruit	N/A
1079	rain	N/A
1080	rainbow	N/A
1081	rainy season	N/A
1082	raise (a child)	N/A
1083	raise (child)	N/A
1084	ram	N/A
1085	rape	N/A
1086	rat	N/A
1087	rat (bush)	N/A
1088	rat (size next to rat mole)	N/A
1089	rat (smallest)	N/A
1090	rat (yellow abdomen)	N/A
1091	rat mole	N/A
1092	razor blade	N/A
1093	read	N/A
1094	rear (animals)	N/A
1095	red	N/A
1096	red feather bird (feather on caps)	N/A
1097	reduce (soup, corn)	N/A
