ID,Name,Concepticon_ID,Concepticon_Gloss
1311_stormwind,storm (wind),,
1312_story,story,,
1313_stream,stream,,
1316_strippedrat,stripped rat,,
1318_subchief,sub chief,,
1322_suffern,suffer (n),,
1323_sugarcane,sugar cane,,
1324_summonv,summon  (v),,
1325_sun,sun,,
1327_swallowfood,swallow (food),,
1328_swallowbird,swallow bird,,
1329_swamp,swamp,,
1330_swearn,swear (n),,
1332_sweat,sweat,,
1334_swelln,swell (n),,
1336_swellingwithnopus,swelling (with no pus),,
1339_tadpolefrogfish,tad-pole (frog/fish),,
1340_tadpole,tadpole,,
1341_take,take,,
1345_talkingdrum,talking drum,,
1347_tappingpipe,tapping -pipe,,
1348_tappinghoe,tapping hoe,,
1349_tappingknife,tapping knife,,
1350_tappingpipe,tapping pipe,,
1351_tappingpiperaffiapalmwine,tapping pipe (raffia/palm wine),,
1352_tappingpipe,tapping-pipe,,
1353_tarantula,tarantula,,
1355_tatoo,tatoo,,
1359_tears,tears,,
1360_teeth,teeth,,
1364_ten10,ten (10),,
1367_termite,termite,,
1368_termitemount,termite mount,,
1370_testicle,testicle,,
1371_thankn,thank (n),,
1373_thatchgrass,thatch grass,,
1374_they,they,,
1375_thief,thief,,
1376_thighlap,thigh (lap),,
1377_thing,thing,,
1378_think,think,,
1379_thirteen13,thirteen (13),,
1380_thirty30,thirty (30),,
1381_thongs,thongs,,
1382_three3,three (3),,
1384_throat,throat,,
1386_thumb,thumb,,
1387_tiebag,tie (bag),,
1390_tiger,tiger,,
1396_toadroughback,toad (rough back),,
1397_tobacco,tobacco,,
1398_tobaccoleaf,tobacco leaf,,
1399_tobaccopipe,tobacco pipe,,
1400_tobaccopowder,tobacco powder,,
1401_toe,toe,,
1403_toilet,toilet,,
1404_tongue,tongue,,
1405_tooth,tooth,,
1409_trap,trap,,
1410_trap2,trap (2),,
1411_trapinclinedstone,trap (inclined stone),,
